Mes;gopph_TOTAL;gopph_Logroño y Alrededores ;gopph_plaza_Resto municipios;gopph_finde_TOTAL;gopph_Logroño y Alrededores _finde ;gopph_Resto municipios_finde;goppa_TOTAL;goppa_Logroño y Alrededores ;goppa_Resto municipios;goppa_finde_TOTAL;goppa_Logroño y Alrededores _finde ;goppa_Resto municipios_finde;gopptr_TOTAL;gopptr_Logroño y Alrededores ;gopptr_Resto municipios;gopptr_finde_TOTAL;gopptr_Logroño y Alrededores _finde ;gopptr_Resto municipios_finde;goppc_TOTAL;goppc_Logroño y Alrededores ;goppc_plaza_Resto municipios;goppc_finde_TOTAL;goppc_Logroño y Alrededores _finde ;goppc_Resto municipios_finde
2024M09;50,54;68,00;49,30;58,39;76,34;54,01;16,52;9,35;18,88;35,77;20,83;40,74;21,61;6,79;23,04;42,66;18,45;45,05;62,17;34,21;71,94;63,45;13,53;52,74
2024M08;57,70;75,44;53,05;63,68;80,20;50,03;56,20;17,43;67,54;63,21;16,69;76,62;40,98;19,92;43,39;42,35;22,54;44,60;71,93;75,71;70,63;69,52;21,36;52,62
2024M07;43,78;61,94;40,12;55,13;66,88;44,76;32,35;18,63;36,67;50,62;26,03;58,10;19,09;12,53;19,77;33,31;26,40;34,05;67,30;66,03;67,76;70,48;24,90;50,78
2024M06;44,91;60,39;42,75;57,26;74,66;55,09;18,86;7,54;22,37;36,93;12,41;44,20;17,31;14,77;17,59;35,02;42,08;34,37;61,09;62,50;60,62;61,99;14,01;50,91
2024M05;50,44;58,83;48,32;56,40;70,73;46,33;14,91;12,87;15,81;31,67;19,43;35,61;19,29;12,58;19,99;41,39;36,41;41,99;58,37;60,21;57,75;59,35;22,48;41,58
2024M04;42,42;54,32;40,48;54,68;72,17;50,41;12,00;9,93;12,90;24,36;11,99;28,25;15,09;7,56;15,88;33,15;28,35;33,71;56,09;29,16;65,56;57,55;13,39;46,97
2024M03;37,71;55,07;33,26;49,34;61,38;38,83;16,64;10,36;18,74;30,63;25,99;32,92;18,98;11,74;19,71;40,06;24,27;41,63;59,08;62,29;57,87;63,92;20,71;45,87
2024M02;32,22;43,67;28,92;44,55;64,19;36,99;10,49;11,46;10,99;18,99;18,33;20,40;9,02;1,95;9,73;23,83;7,08;25,51;54,14;47,08;56,43;54,56;13,23;43,13
2024M01;24,44;35,78;15,75;30,84;51,25;12,35;7,48;7,52;7,83;13,70;10,38;15,00;5,54;5,83;5,52;15,12;22,58;14,28;58,99;74,78;55,38;57,27;13,77;45,11
2023M12;33,46;45,28;28,76;41,75;52,29;22,89;21,19;23,28;20,82;32,01;34,10;31,74;24,52;13,71;25,69;38,50;19,16;40,65;56,34;66,84;52,93;56,93;12,18;47,45
2023M11;35,58;51,83;27,00;52,23;74,03;38,52;14,10;18,91;12,96;31,87;34,84;31,36;14,30;12,78;14,47;44,40;44,30;44,42;57,58;58,31;57,34;58,25;19,58;42,78
2023M10;46,36;60,79;44,24;64,04;74,09;47,91;22,19;21,33;22,67;44,51;39,92;46,21;22,20;24,10;22,00;50,89;78,79;48,46;63,32;65,95;62,41;62,95;14,15;51,77
2023M09;51,45;66,43;51,82;60,26;73,64;59,90;23,34;24,93;23,17;38,12;39,84;38,08;20,34;28,94;19,54;36,09;61,59;33,79;72,05;74,24;71,31;72,78;23,59;54,14
2023M08;57,01;69,29;56,10;62,44;69,43;48,68;52,62;26,74;59,55;58,68;31,44;65,99;33,11;22,42;34,09;44,30;51,52;43,61;67,02;65,61;67,53;73,86;24,55;54,47
2023M07;45,15;57,06;42,80;52,13;56,07;38,91;30,15;20,51;33,01;46,90;26,73;52,54;21,16;22,25;21,06;32,81;44,48;31,90;60,72;59,74;61,09;61,25;14,49;49,80
2023M06;46,53;58,23;45,08;60,99;67,70;54,84;20,71;16,43;22,12;35,57;28,57;37,90;16,41;21,29;16,05;37,19;61,42;35,34;57,11;59,82;56,54;57,39;17,37;43,64
2023M05;45,39;54,83;47,43;50,68;67,32;47,04;14,32;19,92;13,02;31,02;44,88;27,75;17,13;19,27;16,95;42,51;59,92;41,07;62,49;74,16;58,83;64,04;20,64;46,18
2023M04;48,62;60,25;47,14;62,19;65,73;56,64;22,50;20,16;23,50;37,96;39,15;38,30;23,75;25,15;23,64;42,38;54,67;41,39;58,76;55,40;59,89;57,83;15,35;44,55
2023M03;36,36;47,44;34,21;53,36;63,87;28,35;15,79;18,75;15,21;39,76;44,97;38,81;13,07;23,52;12,23;34,94;68,43;32,13;49,69;64,98;59,56;44,34;25,13;22,02
2023M02;34,24;48,20;30,21;49,00;68,31;39,08;16,87;10,66;18,65;38,42;24,26;42,43;12,43;16,64;11,94;35,36;55,39;32,96;54,31;60,46;52,30;51,53;12,86;41,13
2023M01;25,82;35,11;20,90;37,23;53,96;16,01;11,55;10,32;11,87;19,08;22,48;17,92;7,98;7,04;8,10;18,06;20,35;17,79;54,16;63,48;51,30;55,05;18,87;39,78
2022M12;32,51;44,52;30,45;36,72;47,62;22,73;20,02;21,25;19,60;29,58;23,29;31,33;22,08;32,46;21,06;39,91;73,97;36,45;59,88;72,47;56,01;62,87;11,67;53,43
2022M11;36,07;44,88;34,54;54,34;63,80;46,50;12,96;18,98;11,14;33,29;49,98;28,26;14,46;13,06;14,66;36,33;46,99;35,46;66,45;69,92;65,40;69,56;22,80;51,11
