Restaurant/Tapas Bar,Rating,Number of Reviews,Cuisine Type,Price Range,Tripadvisor Ranking
Restaurante Coliceo 29,4.5,205,Restaurantes en Calahorra,€€ - €€€,1.0
Mercadal 21,4.0,522,"Mediterránea, Española",€€ - €€€,2.0
Casa Mateo,4.0,181,"Mediterránea, Española",€€ - €€€,3.0
La Montanera,4.5,61,"Mediterránea, Española",€,4.0
Restaurante El Albergue,4.0,107,"Bares y pubs, Mediterránea",€€ - €€€,5.0
Chef Nino,4.5,151,"Mediterránea, Española",€€ - €€€,6.0
Asador Época,4.0,124,"Mediterránea, Española",€€ - €€€,7.0
Brasería La Damajuana,4.0,36,"Restaurante de carne, Española",€€€€,8.0
Restaurante El Silo,4.0,36,"Restaurante de carne, Europea",€,9.0
Restaurante Parador de Calahorra,3.5,138,"Mediterránea, Española",€€ - €€€,10.0
Gastrobar CAPI,4.0,101,"Española, Saludable",€€ - €€€,11.0
Pintxos Bohemia,4.5,65,"Mediterránea, Española",€,12.0
Sabor.es,4.5,51,"Bares y pubs, Bar",€,13.0
Hostal Gala - Café Restaurante,3.5,32,"Bar, Mediterránea",€€ - €€€,14.0
El Rincón Andaluz,4.0,37,"Mediterránea, Española",€€ - €€€,15.0
Restaurante Chino Hong Kong,4.0,13,"Marisco, Mediterránea",€€ - €€€,16.0
"Act Hostelería La Comedia, S.l.",4.0,53,"China, Asiática",€€ - €€€,17.0
Restaurante Bar La Viña,4.5,7,"Mediterránea, Española",€€ - €€€,18.0
La Vuelta,4.0,13,Española,€,19.0
Bar la Bodega,4.5,7,"Restaurante de carne, Mediterránea",€€ - €€€,20.0
Como en Casa donde la Tomasa,3.0,36,Marisco,€€ - €€€,21.0
Finca Tio Simón,4.5,8,,€,22.0
Cafe Central,3.5,25,Española,€€ - €€€,23.0
LA MAFIA SE SIENTA A LA MESA,3.5,65,"Italiana, Pizza",€€ - €€€,24.0
Restaural,5.0,2,"Mediterránea, Española",€€ - €€€,25.0
Cafetería El Tostadero,4.5,8,,,26.0
Bar Cafetín,4.0,4,Café,,27.0
Bar Las Vegas,4.0,13,Española,,28.0
Montserrat 2.0,3.5,19,"Bares y pubs, Comida rápida",,29.0
Café Rioja,3.5,22,"Bar, Española",,30.0
