Ubicación;Latitud;Longitud
Logrono;42.498965033066305;-2.0913074527097737
Clavijo;41.564192584624266;-2.733914631871967
Ribabellosa;41.93510386863519;-2.196679618272627
Viguera;42.34173884459491;-2.837727080409504
Torrecilla en Cameros;41.804654997799894;-2.0983366372947474
Ezcaray;42.23816016987922;-2.7585840181461667
Sojuela;41.85820128609174;-2.601522497268452
San Asensio;41.942044303398276;-2.103530935138322
Cuzcurrita de Rio Tiron;41.51810639462609;-2.7829011678734115
Cenicero;41.90814544361229;-2.853295084676457
Haro;41.88967363510797;-2.6771763240454214
Navarrete;41.929296906202005;-2.3850172480435163
Murillo del Rio Leza;41.85514663361097;-2.147766008430775
Enciso;42.012081154632774;-2.790168480041292
Aldeanueva de Ebro;41.66870615010873;-2.9135754697566174
El Villar;42.078894119674466;-2.5537326440108266
Mansilla de la Sierra;41.872243403953064;-2.731164405324201
Briones;42.180242849608675;-2.7798917938589525
Arnedillo;41.92382829047438;-2.0768369814415784
Alfaro;41.993895038950356;-2.048997200012863
Albelda de Iregua;41.66938585301045;-2.2620041859183484
Brinas;42.455311184686565;-2.025608384824963
Calahorra;41.55421620912395;-2.604068648139868
Sajazarra;41.63239874959741;-2.044992600500197
Fuenmayor;41.685861435436706;-2.6743619652634014
San Vicente de la Sonsierra;41.584251148421885;-2.1549644196587754
Canas;41.86362093372199;-2.5733921155519015
Najera;41.8310211341874;-2.1408068680377736
Ollauri;42.28600460923991;-2.4501938916307417
Arnedo;41.56903089972418;-2.8230654541122355
Cervera del Rio Alhama;42.1411365515955;-2.963373679835452
Hornos de Moncalvillo;41.57111413071237;-2.3777509246661084
Pradillo;41.86602353223374;-2.5921859005462355
Villamediana de Iregua;41.87973225448667;-2.7211606750282007
Villanueva de Cameros;42.45161929481519;-2.475218841532077
Nalda;42.287482223819616;-2.0361963496711786
Tricio;42.490213581050455;-2.8661999992192255
Ventosa;42.306328357866626;-2.3492237163425873
Casalarreina;42.340940861380034;-2.300986427513638
Abalos;41.686344280739284;-2.1007289625359067
San Millan de la Cogolla;42.10465828566118;-2.9783779523710425
Agoncillo;41.98269438603964;-2.064162150032945
Banos de Rioja;41.92090604175468;-2.6836317768591584
San Asensio;41.770786939198935;-2.986596937429905
Ausejo;41.85927274274831;-2.430269270444792
Hormilleja;41.79144818227782;-2.45510774225625
Galilea;42.10144370905089;-2.89050634954385
Soto en Cameros;41.59376047701118;-2.975876945380729
Lardero;42.254817100495444;-2.6397143650444193
Anguiano;42.059283942277446;-2.766535520672469
Ezcaray;41.67868265050753;-2.969134082124427
San Asensio;41.98509685536953;-2.32203159741875
