fiesta;fecha;ubicacion
Danzadores de Anguiano;21/7/25;Anguiano
Fiesta de la Vendimia de Logrono;20/9/25;Logrono
Fiestas de Santo Domingo de La Calzada;10/5/25;Santo Domingo de La Calzada
Picaos de San Vicente;17/4/25;San Vicente de la Sonsierra
Batalla del Vino;29/6/25;Haro
Jornadas Medievales de Briones;14/6/25;Briones
Semana Santa de Calahorra;13/4/25;Calahorra
Fiestas del Pan y Queso de Quel;6/8/25;Quel
Semana Santa de Logrono;12/4/25;Logrono
Fiestas de San Cosme y San Damian;27/9/25;Arnedo
Ferias de la Concepcion;4/12/25;Santo Domingo de la Calzada
Quema de Judas;31/3/25;Alfaro
Jornadas Gastronomicas de la Verdura;19/4/25;Calahorra
Procesion del Humo;30/12/25;Arnedillo
Molienda de Ocon;4/8/25;Ocon
Batalla del Clarete;27/7/25;San Asensio.
Fiestas de Nuestra Senora de la Vega;8/9/25;Haro
Romeria de la Caridad Grande;6/7/25;Villoslada de Cameros
