Turismo > Directorio de alojamientos turísticos y plazas
    Directorio de alojamientos turísticos y plazas

Número de apartamentos y capacidad por municipios y categoría
Unidad de medida:Numero


,LA RIOJA,,Ábalos,,Agoncillo,,Aguilar del Río Alhama,,Ajamil de Cameros,,Albelda de Iregua,,Alberite,,Alcanadre,,Aldeanueva de Ebro,,Alesanco,,Alesón,,Alfaro,,Almarza de Cameros,,Anguciana,,Anguiano,,Arenzana de Abajo,,Arenzana de Arriba,,Arnedillo,,Arnedo,,Arrúbal,,Ausejo,,Autol,,Azofra,,Badarán,,Bañares,,Baños de Rioja,,Baños de Río Tobía,,Berceo,,Bergasa,,Bergasillas Bajera,,Bezares,,Bobadilla,,Brieva de Cameros,,Briñas,,Briones,,Cabezón de Cameros,,Calahorra,,Camprovín,,Canales de la Sierra,,Canillas de Río Tuerto,,Cañas,,Cárdenas,,Casalarreina,,Castañares de Rioja,,Castroviejo,,Cellorigo,,Cenicero,,Cervera del Río Alhama,,Cidamón,,Cihuri,,Cirueña,,Clavijo,,Cordovín,,Corera,,Cornago,,Corporales,,Cuzcurrita de Río Tirón,,Daroca de Rioja,,Enciso,,Entrena,,Estollo,,Ezcaray,,Foncea,,Fonzaleche,,Fuenmayor,,Galbárruli,,Galilea,,Gallinero de Cameros,,Gimileo,,Grañón,,Grávalos,,Haro,,Herce,,Herramélluri,,Hervías,,Hormilla,,Hormilleja,,Hornillos de Cameros,,Hornos de Moncalvillo,,Huércanos,,Igea,,Jalón de Cameros,,Laguna de Cameros,,Lagunilla del Jubera,,Lardero,,Ledesma de la Cogolla,,Leiva,,Leza de Río Leza,,Logroño,,Lumbreras,,Manjarrés,,Mansilla de la Sierra,,Manzanares de Rioja,,Matute,,Medrano,,Munilla,,Murillo de Río Leza,,Muro de Aguas,,Muro en Cameros,,Nájera,,Nalda,,Navajún,,Navarrete,,Nestares,,Nieva de Cameros,,Ocón,,Ochánduri,,Ojacastro,,Ollauri,,Ortigosa de Cameros,,Pazuengos,,Pedroso,,Pinillos,,Pradejón,,Pradillo,,Préjano,,Quel,,Rabanera,,Rasillo de Cameros (El),,Redal (El),,Ribafrecha,,Rincón de Soto,,Robres del Castillo,,Rodezno,,Sajazarra,,San Asensio,,San Millán de la Cogolla,,San Millán de Yécora,,San Román de Cameros,,Santa Coloma,,Santa Engracia del Jubera,,Santa Eulalia Bajera,,Santo Domingo de la Calzada,,San Torcuato,,Santurde de Rioja,,Santurdejo,,San Vicente de la Sonsierra,,Sojuela,,Sorzano,,Sotés,,Soto en Cameros,,Terroba,,Tirgo,,Tobía,,Tormantos,,Torrecilla en Cameros,,Torrecilla sobre Alesanco,,Torre en Cameros,,Torremontalbo,,Treviana,,Tricio,,Tudelilla,,Uruñuela,,Valdemadera,,Valgañón,,Ventosa,,Ventrosa,,Viguera,,Villalba de Rioja,,Villalobar de Rioja,,Villamediana de Iregua,,Villanueva de Cameros,,Villar de Arnedo (El),,Villar de Torre,,Villarejo,,Villarroya,,Villarta-Quintana,,Villavelayo,,Villaverde de Rioja,,Villoslada de Cameros,,Viniegra de Abajo,,Viniegra de Arriba,,Zarratón,,Zarzosa,,Zorraquín,,
,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,
,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,
2024,"79","2.268","1","12","..","..","..","..","1","20","1","12","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","2","28","..","..","..","..","1","12","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","16","1","59","..","..","1","16","2","40","..","..","..","..","..","..","..","..","2","172","2","39","..","..","..","..","1","16","..","..","..","..","..","..","..","..","2","22","..","..","..","..","..","..","..","..","2","60","1","16","..","..","..","..","..","..","15","431","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","46","..","..","10","264","1","13","..","..","..","..","..","..","..","..","..","..","..","..","1","18","..","..","1","16","..","..","..","..","..","..","..","..","1","28","..","..","14","478","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","4","63","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","2","39","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","2","31","..","..","..","..","..","..","1","12","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","12","..","..","..","..","..","..","..","..","..","..","1","16","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","54","..","..","..","..","1","20","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","187",
2023,"77","2.192","1","12","..","..","..","..","1","20","1","12","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","2","28","..","..","..","..","1","12","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","16","1","59","..","..","1","16","2","40","..","..","..","..","..","..","..","..","2","172","2","39","..","..","..","..","1","16","..","..","..","..","..","..","..","..","2","22","..","..","..","..","..","..","..","..","2","60","1","16","..","..","..","..","..","..","14","363","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","46","..","..","10","264","1","13","..","..","..","..","..","..","..","..","..","..","..","..","1","18","..","..","1","16","..","..","..","..","..","..","..","..","1","28","..","..","13","470","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","4","63","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","2","39","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","2","31","..","..","..","..","..","..","1","12","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","12","..","..","..","..","..","..","..","..","..","..","1","16","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","54","..","..","..","..","1","20","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","187",
2022,"70","1.880","1","12","..","..","..","..","1","20","1","12","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","2","28","..","..","..","..","1","12","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","59","..","..","1","16","2","40","..","..","..","..","..","..","..","..","1","12","2","39","..","..","..","..","1","16","..","..","..","..","..","..","..","..","2","22","..","..","..","..","..","..","..","..","2","60","1","16","..","..","..","..","..","..","14","363","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","46","..","..","9","261","1","13","..","..","..","..","..","..","..","..","..","..","..","..","1","18","..","..","1","16","..","..","..","..","..","..","..","..","1","28","..","..","10","353","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","3","47","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","2","39","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","2","31","..","..","..","..","..","..","1","12","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","12","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","16","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","54","..","..","..","..","1","20","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","187",
2021,"64","1.761","1","12","..","..","..","..","1","20","1","12","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","2","28","..","..","..","..","1","12","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","17","..","..","..","..","..","..","..","..","..","..","..","..","1","59","..","..","1","16","1","21","..","..","..","..","..","..","..","..","..","..","1","24","..","..","..","..","1","16","..","..","..","..","..","..","..","..","2","22","..","..","..","..","..","..","..","..","2","60","1","16","..","..","..","..","..","..","14","363","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","46","..","..","9","261","1","13","..","..","..","..","..","..","..","..","..","..","..","..","1","18","..","..","1","16","..","..","..","..","..","..","..","..","1","28","..","..","8","295","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","2","31","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","2","39","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","15","..","..","..","..","..","..","1","12","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","12","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","16","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","54","..","..","..","..","1","20","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","187",
2020,"57","1.583","1","12","..","..","..","..","1","20","1","12","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","2","28","..","..","..","..","1","12","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","17","..","..","..","..","..","..","..","..","..","..","..","..","1","36","..","..","1","16","1","21","..","..","..","..","..","..","..","..","..","..","1","24","..","..","..","..","..","..","..","..","..","..","..","..","..","..","2","22","..","..","..","..","..","..","..","..","2","60","1","16","..","..","..","..","..","..","13","353","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","46","..","..","7","177","1","13","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","16","..","..","..","..","..","..","..","..","1","28","..","..","8","295","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","16","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","2","39","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","15","..","..","..","..","..","..","1","12","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","16","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","54","..","..","..","..","1","20","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","187",
2019,"48","1.315","..","..","..","..","..","..","1","20","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","2","28","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","36","..","..","..","..","1","21","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","9","..","..","..","..","..","..","..","..","2","60","1","16","..","..","..","..","..","..","13","353","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","7","177","1","13","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","16","..","..","..","..","..","..","..","..","..","..","..","..","6","169","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","16","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","20","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","2","39","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","15","..","..","..","..","..","..","1","12","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","18","1","16","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","54","..","..","..","..","1","20","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","187",
2018,"40","1.085","..","..","..","..","..","..","1","20","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","2","32","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","36","..","..","..","..","1","21","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","9","..","..","..","..","..","..","..","..","1","20","1","16","..","..","..","..","..","..","11","291","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","6","162","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","4","81","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","16","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","20","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","2","39","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","15","..","..","..","..","..","..","1","12","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","18","1","16","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","54","..","..","..","..","1","20","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","187",
2017,"102","1.534","..","..","..","..","..","..","..","..","..","..","..","..","2","18","1","8","1","6","1","5","1","6","..","..","..","..","2","32","1","6","..","..","2","14","1","6","..","..","..","..","..","..","..","..","1","18","..","..","..","..","2","24","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","36","..","..","4","22","2","26","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","2","15","2","25","..","..","..","..","..","..","..","..","2","23","1","16","3","16","..","..","..","..","14","297","..","..","1","4","1","16","..","..","..","..","..","..","..","..","..","..","1","7","6","162","..","..","..","..","..","..","..","..","..","..","..","..","1","12","1","8","1","6","..","..","1","12","..","..","..","..","..","..","..","..","..","..","9","104","..","..","..","..","..","..","..","..","..","..","..","..","1","14","1","12","..","..","2","22","..","..","1","6","..","..","1","10","..","..","..","..","1","1","..","..","1","20","..","..","1","11","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","4","42","2","30","..","..","..","..","..","..","..","..","..","..","..","..","1","14","..","..","3","16","..","..","..","..","..","..","2","21","..","..","..","..","..","..","1","12","1","4","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1","6","..","..","..","..","..","..","..","..","..","..","..","..","1","18","1","16","..","..","1","4","..","..","..","..","..","..","..","..","..","..","1","54","..","..","..","..","1","20","..","..","..","..","1","12","..","..","1","10","1","14","..","..","..","..","..","..","2","195",
