Turismo > Directorio de alojamientos turísticos y plazas
    Directorio de alojamientos turísticos y plazas

Número de hoteles y capacidad por municipios y categoría
Unidad de medida:Numero


,LA RIOJA,,Ábalos,,Agoncillo,,Aguilar del Río Alhama,,Ajamil de Cameros,,Albelda de Iregua,,Alberite,,Alcanadre,,Aldeanueva de Ebro,,Alesanco,,Alesón,,Alfaro,,Almarza de Cameros,,Anguciana,,Anguiano,,Arenzana de Abajo,,Arenzana de Arriba,,Arnedillo,,Arnedo,,Arrúbal,,Ausejo,,Autol,,Azofra,,Badarán,,Bañares,,Baños de Rioja,,Baños de Río Tobía,,Berceo,,Bergasa,,Bergasillas Bajera,,Bezares,,Bobadilla,,Brieva de Cameros,,Briñas,,Briones,,Cabezón de Cameros,,Calahorra,,Camprovín,,Canales de la Sierra,,Canillas de Río Tuerto,,Cañas,,Cárdenas,,Casalarreina,,Castañares de Rioja,,Castroviejo,,Cellorigo,,Cenicero,,Cervera del Río Alhama,,Cidamón,,Cihuri,,Cirueña,,Clavijo,,Cordovín,,Corera,,Cornago,,Corporales,,Cuzcurrita de Río Tirón,,Daroca de Rioja,,Enciso,,Entrena,,Estollo,,Ezcaray,,Foncea,,Fonzaleche,,Fuenmayor,,Galbárruli,,Galilea,,Gallinero de Cameros,,Gimileo,,Grañón,,Grávalos,,Haro,,Herce,,Herramélluri,,Hervías,,Hormilla,,Hormilleja,,Hornillos de Cameros,,Hornos de Moncalvillo,,Huércanos,,Igea,,Jalón de Cameros,,Laguna de Cameros,,Lagunilla del Jubera,,Lardero,,Ledesma de la Cogolla,,Leiva,,Leza de Río Leza,,Logroño,,Lumbreras,,Manjarrés,,Mansilla de la Sierra,,Manzanares de Rioja,,Matute,,Medrano,,Munilla,,Murillo de Río Leza,,Muro de Aguas,,Muro en Cameros,,Nájera,,Nalda,,Navajún,,Navarrete,,Nestares,,Nieva de Cameros,,Ocón,,Ochánduri,,Ojacastro,,Ollauri,,Ortigosa de Cameros,,Pazuengos,,Pedroso,,Pinillos,,Pradejón,,Pradillo,,Préjano,,Quel,,Rabanera,,Rasillo de Cameros (El),,Redal (El),,Ribafrecha,,Rincón de Soto,,Robres del Castillo,,Rodezno,,Sajazarra,,San Asensio,,San Millán de la Cogolla,,San Millán de Yécora,,San Román de Cameros,,Santa Coloma,,Santa Engracia del Jubera,,Santa Eulalia Bajera,,Santo Domingo de la Calzada,,San Torcuato,,Santurde de Rioja,,Santurdejo,,San Vicente de la Sonsierra,,Sojuela,,Sorzano,,Sotés,,Soto en Cameros,,Terroba,,Tirgo,,Tobía,,Tormantos,,Torrecilla en Cameros,,Torrecilla sobre Alesanco,,Torre en Cameros,,Torremontalbo,,Treviana,,Tricio,,Tudelilla,,Uruñuela,,Valdemadera,,Valgañón,,Ventosa,,Ventrosa,,Viguera,,Villalba de Rioja,,Villalobar de Rioja,,Villamediana de Iregua,,Villanueva de Cameros,,Villar de Arnedo (El),,Villar de Torre,,Villarejo,,Villarroya,,Villarta-Quintana,,Villavelayo,,Villaverde de Rioja,,Villoslada de Cameros,,Viniegra de Abajo,,Viniegra de Arriba,,Zarratón,,Zarzosa,,Zorraquín,,
,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,TOTAL,,
,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,Plazas,Establecimientos,
2024,"4.998","79","35","2","..","..","..","..","..","..","32","1","..","..","..","..","..","..","..","..","..","..","137","2","..","..","..","..","13","1","..","..","..","..","356","3","144","2","..","..","..","..","..","..","30","1","53","1","..","..","10","1","..","..","..","..","..","..","..","..","..","..","..","..","..","..","146","3","32","2","..","..","223","4","..","..","..","..","..","..","..","..","..","..","55","3","..","..","..","..","..","..","..","..","16","1","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","24","1","..","..","..","..","28","1","..","..","197","5","..","..","..","..","..","..","..","..","..","..","..","..","..","..","22","1","..","..","376","5","..","..","..","..","..","..","34","1","..","..","..","..","..","..","..","..","..","..","..","..","24","1","..","..","..","..","..","..","..","..","..","..","2.342","19","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","30","1","..","..","..","..","160","3","..","..","..","..","..","..","..","..","..","..","..","..","16","1","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","18","1","28","2","49","1","..","..","..","..","..","..","..","..","..","..","222","2","..","..","..","..","..","..","42","2","..","..","..","..","..","..","..","..","..","..","20","1","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","16","1","14","1","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","44","1","..","..","10","1","..","..","..","..",
2023,"4.936","78","35","2","..","..","..","..","..","..","32","1","..","..","..","..","..","..","..","..","..","..","137","2","..","..","..","..","13","1","..","..","..","..","356","3","144","2","..","..","..","..","..","..","30","1","53","1","..","..","10","1","..","..","..","..","..","..","..","..","..","..","..","..","..","..","146","3","32","2","..","..","223","4","..","..","..","..","..","..","..","..","..","..","55","3","..","..","..","..","..","..","..","..","16","1","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","24","1","..","..","..","..","28","1","..","..","197","5","..","..","..","..","..","..","..","..","..","..","..","..","..","..","22","1","..","..","376","5","..","..","..","..","..","..","34","1","..","..","..","..","..","..","..","..","..","..","..","..","24","1","..","..","..","..","..","..","..","..","..","..","2.280","18","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","30","1","..","..","..","..","160","3","..","..","..","..","..","..","..","..","..","..","..","..","16","1","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","18","1","28","2","49","1","..","..","..","..","..","..","..","..","..","..","222","2","..","..","..","..","..","..","42","2","..","..","..","..","..","..","..","..","..","..","20","1","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","16","1","14","1","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","44","1","..","..","10","1","..","..","..","..",
2022,"5.179","83","35","2","..","..","..","..","..","..","32","1","..","..","..","..","..","..","..","..","..","..","137","2","..","..","..","..","13","1","..","..","..","..","356","3","150","3","..","..","..","..","..","..","30","1","53","1","..","..","10","1","..","..","..","..","..","..","..","..","..","..","..","..","..","..","146","3","32","2","..","..","223","4","..","..","..","..","..","..","..","..","..","..","55","3","..","..","..","..","..","..","..","..","38","2","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","24","1","..","..","..","..","28","1","..","..","197","5","..","..","..","..","..","..","..","..","..","..","..","..","..","..","22","1","78","1","452","6","..","..","..","..","..","..","34","1","..","..","..","..","..","..","..","..","..","..","..","..","24","1","..","..","..","..","..","..","..","..","..","..","2.284","18","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","30","1","..","..","..","..","160","3","..","..","..","..","..","..","..","..","..","..","..","..","16","1","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","18","1","28","2","49","1","..","..","..","..","..","..","..","..","..","..","279","3","..","..","..","..","..","..","42","2","..","..","..","..","..","..","..","..","..","..","20","1","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","16","1","14","1","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","44","1","..","..","10","1","..","..","..","..",
2021,"4.784","77","35","2","..","..","..","..","..","..","32","1","..","..","..","..","..","..","..","..","..","..","137","2","..","..","..","..","13","1","..","..","..","..","356","3","150","3","..","..","..","..","..","..","30","1","53","1","..","..","10","1","..","..","..","..","..","..","..","..","..","..","..","..","..","..","146","3","16","1","..","..","223","4","..","..","..","..","..","..","..","..","..","..","55","3","..","..","..","..","..","..","..","..","38","2","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","24","1","..","..","..","..","28","1","..","..","197","5","..","..","..","..","..","..","..","..","..","..","..","..","..","..","22","1","150","1","452","6","..","..","..","..","..","..","34","1","..","..","..","..","..","..","..","..","..","..","..","..","24","1","..","..","..","..","..","..","..","..","..","..","1.909","15","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","30","1","..","..","..","..","102","2","..","..","..","..","..","..","..","..","..","..","..","..","16","1","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","28","2","49","1","..","..","..","..","..","..","..","..","..","..","279","3","..","..","..","..","..","..","42","2","..","..","..","..","..","..","..","..","..","..","20","1","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","16","1","14","1","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","44","1","..","..","10","1","..","..","..","..",
2020,"4.873","75","35","2","..","..","..","..","..","..","32","1","..","..","..","..","..","..","..","..","..","..","137","2","..","..","..","..","13","1","..","..","..","..","356","3","150","3","..","..","..","..","..","..","30","1","53","1","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","146","3","16","1","..","..","223","4","..","..","..","..","..","..","..","..","..","..","55","3","..","..","..","..","..","..","..","..","22","1","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","24","1","..","..","..","..","28","1","..","..","197","5","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","78","1","452","6","..","..","..","..","..","..","34","1","..","..","..","..","..","..","..","..","..","..","..","..","24","1","..","..","..","..","..","..","..","..","..","..","2.118","16","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","30","1","..","..","..","..","102","2","..","..","..","..","..","..","..","..","..","..","..","..","16","1","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","28","2","49","1","..","..","..","..","..","..","..","..","..","..","279","3","..","..","..","..","..","..","42","2","..","..","..","..","..","..","..","..","..","..","20","1","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","16","1","14","1","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","44","1","..","..","10","1","..","..","..","..",
2019,"4.964","76","35","2","..","..","..","..","..","..","32","1","..","..","..","..","..","..","..","..","..","..","137","2","..","..","..","..","13","1","..","..","..","..","441","4","150","3","..","..","..","..","..","..","30","1","53","1","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","146","3","16","1","..","..","223","4","..","..","..","..","..","..","..","..","..","..","55","3","..","..","..","..","..","..","..","..","22","1","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","24","1","..","..","..","..","28","1","..","..","197","5","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","78","1","422","5","..","..","..","..","..","..","34","1","..","..","..","..","..","..","..","..","..","..","..","..","24","1","..","..","..","..","..","..","..","..","..","..","2.154","17","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","30","1","..","..","..","..","102","2","..","..","..","..","..","..","..","..","..","..","..","..","16","1","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","28","2","49","1","..","..","..","..","..","..","..","..","..","..","279","3","..","..","..","..","..","..","42","2","..","..","..","..","..","..","..","..","..","..","20","1","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","16","1","14","1","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","44","1","..","..","10","1","..","..","..","..",
2018,"4.885","74","35","2","..","..","..","..","..","..","32","1","..","..","..","..","..","..","17","1","..","..","137","2","..","..","..","..","13","1","..","..","..","..","441","4","150","3","..","..","..","..","..","..","30","1","53","1","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","81","2","16","1","..","..","223","4","..","..","..","..","..","..","..","..","..","..","42","2","..","..","..","..","..","..","..","..","22","1","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","24","1","..","..","..","..","28","1","..","..","197","5","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","78","1","422","5","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","24","1","..","..","..","..","..","..","..","..","..","..","2.170","17","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","30","1","..","..","..","..","102","2","..","..","..","..","..","..","..","..","..","..","..","..","16","1","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","28","2","49","1","..","..","..","..","..","..","..","..","..","..","279","3","..","..","..","..","..","..","42","2","..","..","..","..","..","..","..","..","..","..","20","1","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","16","1","14","1","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","44","1","..","..","10","1","..","..","..","..",
2017,"4.790","73","35","2","..","..","..","..","..","..","32","1","..","..","..","..","..","..","17","1","..","..","137","2","..","..","..","..","13","1","..","..","..","..","441","4","150","3","..","..","..","..","..","..","30","1","53","1","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","81","2","16","1","..","..","223","4","..","..","..","..","..","..","..","..","..","..","42","2","..","..","..","..","..","..","..","..","22","1","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","24","1","..","..","..","..","28","1","..","..","197","5","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","78","1","422","5","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","24","1","..","..","..","..","..","..","..","..","..","..","2.075","16","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","30","1","..","..","..","..","102","2","..","..","..","..","..","..","..","..","..","..","..","..","16","1","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","28","2","49","1","..","..","..","..","..","..","..","..","..","..","279","3","..","..","..","..","..","..","42","2","..","..","..","..","..","..","..","..","..","..","20","1","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","16","1","14","1","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","44","1","..","..","10","1","..","..","..","..",
