ano;trimestre;gmp_Hombres;gmp_Mujeres;gasto_total_Hombres;gasto_total_Mujeres;excursiones_Hombres;excursiones_Mujeres;Viajeros_edad_15-19;Duración media viaje_edad_15-19;Viajeros_edad_20-24;Duración media de los viajeros_20-24;Viajeros_edad_25-29;Duración media de los viajeros_25-29;Viajeros_edad_30-34;Duración media de los viajeros_30-34;Viajeros_edad_35-39;Duración media de los viajeros_35-39;Viajeeos_edad_40-44;Duración media de los viajeros_40-44;Viajeros_edad_45-49;Duración media de los viajeros_45-49;Viajeros_edad_50-54;Duración media de los viajeros_50-54;Viajeros_edad_55-59;Duración media de los viajeros_55-59;Viajeros_edad_60-64;Duración media de los viajeros_60-64;Viajeros_edad_65-69;Duración media de los viajeros_65-69;Viajeros_edad_70-74;Duración media de los viajeros_70-74;Viajeros_edad_75-79;Duración media de los viajeros_75-79;Viajeros_edad_80-84;Duración media de los viajeros_80-84;Viajeros_edad_85_mas;Duración media de los viajeros_85_mas;Educación primaria o inferior;Educación secundaria primera etapa;Educación secundaria segunda etapa;Educación superior;Educación Desconocido;Duración media de los viajeros_Residentes Rioja;Duración media de los viajeros_ Resto de CCAA;Duración media de los viajeros_Hombres;Duración media de los viajeros_Mujeres
2024;2;42,43;45,57;6028300,46;4592487,82;142069;100769;;;9660;2;10978;2,11;19204;4,21;14626;3,39;52116;1,75;67046;2,49;49559;2,88;40968;2,3;22515;1,66;14064;2,9;12564;1,27;298;20;5340;2,95;1366;2;17964;67893;38878;195569;;1,7;2,61;2,19;2,79
2024;1;46,02;45,26;9185995,83;8057724,72;199618;178038;19445;2;22734;2,5;22567;2,71;32617;4,48;33525;6,13;44704;2,17;33339;1,83;23885;2,31;26942;1,94;29081;1,9;20307;2,26;17421;2,96;653;2;304;1;1674;7,22;39364;127141;39074;123623;;2,07;3,05;2,9;2,8
2023;4;48,55;43,92;7324782,37;5545583,09;150880;126279;1360;1;5628;2,32;781;2;52665;3,32;9066;1,8;23887;2,81;50979;4,16;29304;3,53;55948;2,5;43978;3,11;30757;3,09;26831;2,24;6030;15,49;2341;1,99;206;2;57961;97539;51611;131029;1623;2,37;3,45;3,03;3,79
2023;3;46,43;42,42;7886218,99;5475260,38;169853;129084;3553;4,16;18735;5,55;7155;4,6;25026;2,75;16073;2,51;99809;3,17;59463;4,84;42272;5,04;53943;4,06;79206;3,67;38065;3,89;37943;9,34;1780;6,45;1773;16,15;2881;9,9;108943;80759;94768;201308;1899;4,33;4,45;4,82;3,97
2023;2;48,25;41,11;6756945,76;5624996,19;140047;136826;2237;3;7951;2;6061;5;8080;1,74;58748;3,58;55266;1,79;42034;1,89;19370;1,91;10676;3,95;84768;2,04;30026;7,6;11077;2,71;4954;4,89;7094;5,11;374;1;9243;53007;62792;223674;;1,97;3,16;3,71;2,34
2023;1;42,36;40,94;5746421,94;7131552,31;135671;174212;;;6180;2;7107;3,75;20351;1,64;22480;1,59;53402;1,8;31952;1,91;16945;2,01;32442;3,45;14678;1,83;6029;5,32;13554;6,94;5751;3,31;3537;3,25;;;18130;22413;61610;132254;;2,04;2,67;2,26;2,85
2022;4;42,38;40,65;6409022,93;8155439,98;151229;200617;2260;1;;;23306;1,71;15229;3,67;42330;1,67;95449;2,29;12495;2,23;26379;3,36;48119;3,01;50603;2,93;22729;3,76;4934;7,82;3335;5,51;770;23;260;2;64457;56248;77886;149607;;1,85;2,98;2,68;2,86
2022;3;40,02;47,28;5462627,92;8225101,92;136495;173956;38763;14,26;29778;1,17;6355;1,15;61149;5,43;13557;3,06;34886;6,58;87855;5,71;10895;7,05;44594;3,77;19692;11,14;51654;4,53;13749;8,2;5955;2,92;1202;23,97;426;2;85478;116029;80897;138106;;6,47;5,98;6,44;5,81
2022;2;42,39;35,29;11671399,06;5893967,02;275324;167039;2109;2,94;;;23208;2,75;22147;1,78;43301;2,39;40183;2,64;43541;1,56;20634;2,23;42840;2,43;38737;3,7;32470;2,1;8876;5,1;28098;2,22;3998;2,94;2719;3,27;82403;73660;42947;153851;;2,36;2,54;2,74;2,28
2022;1;43,36;34,48;8608017,14;5934294,11;198516;172107;2338;1;;;11067;2,65;30925;1,89;27538;5,18;36884;1,83;17514;1,9;9584;2,77;34144;2,43;21844;3,06;13701;2,85;6761;2,26;14862;1,82;4436;2,34;;;57191;35853;22655;115900;;2,91;2,36;2,73;2,47
