 Fecha;Hoteles_total;Campings_total;Apartamentos_turisticos_total;Alojamientos_de_turismo_rura_total;Albergues_total;Hoteles_residentes;Campings_residentes;Apartamentos turisticos_residentes;Alojamientos_de_turismo_rural_residentes;Albergues_residentes;Hoteles_extranjeros;Campings_extranjeros;Apartamentos_turisticos_extranjeros;Alojamientos_de_turismo_rural_extranjeros;Albergues_extranjeros
    2024M09;105.767;25.280;11.551;6.722;7.151;69.205;19.210;8.648;5.001;2.079;36.562;6.071;2.903;1.721;5.072
    2024M08;121.383;99.816;40.650;14.373;7.822;100.040;92.732;32.428;11.630;4.566;21.343;7.084;8.222;2.743;3.256
    2024M07;95.843;84.906;23.264;6.579;10.091;72.164;79.575;19.476;4.693;7.092;23.678;5.331;3.788;1.886;2.999
    2024M06;93.939;31.692;12.161;5.770;5.869;68.505;24.344;10.025;4.072;3.049;25.434;7.348;2.136;1.698;2.819
    2024M05;100.784;20.887;10.000;6.840;9.380;67.843;14.502;8.226;4.549;3.576;32.941;6.385;1.774;2.290;5.804
    2024M04;88.668;19.795;8.097;5.368;3.155;64.263;12.573;7.091;4.196;1.539;24.405;7.222;1.007;1.171;1.616
    2024M03;80.439;27.722;11.188;6.561;3.384;69.201;24.747;10.325;5.616;3.162;11.238;2.975;864;945;222
    2024M02;57.160;4.051;5.432;2.497;1.663;50.040;3.125;4.667;2.038;1.556;7.120;926;764;459;107
    2024M01;43.248;.;4.251;1.543;1.750;37.334;.;3.369;1.475;1.697;5.914;.;882;68;53
    2023M12;63.587;4.105;15.872;8.881;3.501;57.571;4.043;15.143;8.712;3.008;6.017;62;729;169;493
    2023M11;69.463;12.379;10.178;5.347;2.202;59.394;11.536;9.265;5.206;1.690;10.069;843;913;141;512
    2023M10;96.586;20.449;16.826;8.512;6.201;74.060;17.100;14.719;7.891;3.453;22.526;3.349;2.107;621;2.748
    2023M09;104.263;31.108;18.373;7.460;6.075;69.480;25.811;14.390;5.983;3.392;34.783;5.297;3.983;1.477;2.683
    2023M08;119.694;102.825;42.488;13.055;11.798;96.905;95.963;37.907;11.791;8.039;22.790;6.862;4.581;1.264;3.759
    2023M07;94.740;90.837;23.716;8.269;15.226;74.489;84.992;19.972;6.903;12.675;20.251;5.845;3.743;1.366;2.551
    2023M06;92.307;32.316;15.700;6.327;8.687;68.738;26.070;12.214;5.209;5.466;23.569;6.246;3.486;1.119;3.221
    2023M05;93.691;21.647;11.366;6.557;9.262;62.751;17.068;9.694;5.607;3.785;30.940;4.579;1.672;949;5.476
    2023M04;93.192;33.688;17.280;9.345;8.807;74.651;30.149;16.414;8.748;5.151;18.541;3.539;866;596;3.656
    2023M03;66.498;8.876;9.425;4.810;4.756;58.312;7.774;8.569;4.614;3.434;8.185;1.102;856;195;1.322
    2023M02;54.834;5.086;9.008;3.922;3.452;49.489;4.358;8.559;3.829;2.505;5.345;728;449;93;947
    2023M01;39.939;1.402;5.751;2.650;1.561;35.718;1.318;5.256;2.385;1.055;4.221;84;495;266;507
    2022M12;57.510;4.815;10.759;7.200;4.046;51.555;4.815;9.683;7.045;3.581;5.955;..;1.076;155;466
    2022M11;66.315;7.151;6.653;4.655;3.627;57.403;6.420;5.633;4.227;2.734;8.912;731;1.020;428;892
    2022M10;95.703;16.831;13.155;7.129;6.008;76.552;12.401;11.383;6.230;3.998;19.151;4.430;1.772;900;2.009
    2022M09;99.356;31.174;12.574;6.963;7.699;71.319;27.282;10.166;5.467;3.625;28.037;3.892;2.408;1.495;4.074
    2022M08;122.344;114.221;27.568;10.869;11.570;101.516;108.053;22.449;9.142;7.184;20.828;6.168;5.119;1.727;4.386
    2022M07;89.568;98.783;20.285;7.434;12.970;71.304;94.939;17.696;5.749;10.796;18.264;3.844;2.589;1.686;2.173
    2022M06;82.621;40.648;11.854;6.138;6.448;60.503;32.915;9.289;4.959;3.917;22.118;7.733;2.565;1.178;2.531
    2022M05;84.515;20.577;8.920;5.702;7.163;60.330;15.858;7.667;4.686;4.011;24.184;4.719;1.253;1.016;3.152
    2022M04;86.260;29.924;13.110;7.180;5.859;70.378;22.111;11.589;6.626;3.540;15.882;7.813;1.521;553;2.319
    2022M03;55.307;7.822;6.318;3.477;2.724;45.779;6.264;5.951;3.138;2.179;9.528;1.558;367;338;545
    2022M02;46.288;4.282;6.745;2.705;2.026;40.389;3.790;6.119;2.554;1.734;5.899;492;625;151;292
    2022M01;31.065;1.981;4.391;2.133;1.030;26.860;1.818;4.045;2.079;923;4.205;163;346;54;107
    2021M12;50.980;3.734;.;7.322;.;45.449;3.674;.;5.956;.;5.531;60;.;1.366;.
    2021M11;63.773;6.919;8.142;6.430;2.227;56.667;6.546;7.633;4.756;1.806;7.106;373;508;1.674;421
    2021M10;93.656;19.969;14.734;9.594;5.640;78.242;17.599;13.194;7.712;4.558;15.414;2.370;1.540;1.883;1.082
    2021M09;85.262;33.302;13.328;7.038;4.549;65.909;30.768;9.976;5.004;2.741;19.353;2.534;3.352;2.035;1.808
    2021M08;122.226;133.182;27.226;13.826;10.347;106.991;129.250;25.888;11.292;8.741;15.235;3.932;1.339;2.534;1.606
    2021M07;74.049;93.698;19.644;10.186;11.341;64.460;91.501;17.803;7.952;10.430;9.589;2.197;1.841;2.234;911
    2021M06;46.973;27.418;7.716;5.177;2.558;40.409;26.455;6.816;3.573;2.207;6.564;963;900;1.604;351
    2021M05;32.080;12.274;4.097;2.437;1.164;28.727;11.771;3.878;2.377;1.000;3.353;503;218;60;164
    2021M04;16.797;.;2.293;2.031;281;14.821;.;2.278;2.027;259;1.976;.;15;5;22
    2021M03;17.404;390;1.649;888;212;15.229;371;1.501;786;201;2.175;19;149;103;11
    2021M02;9.236;.;.;603;.;8.126;.;.;598;.;1.110;.;.;5;.
    2021M01;8.420;.;1.271;438;35;7.602;.;1.271;433;10;817;.;0;5;25
    2020M12;11.377;695;1.173;1.440;.;9.978;655;1.139;1.440;.;1.399;40;34;0;.
    2020M11;10.929;.;888;1.065;.;9.303;.;.;.;.;1.626;.;.;.;.
    2020M10;29.564;6.988;3.633;2.451;794;26.059;6.597;3.534;2.429;786;3.505;391;98;22;8
    2020M09;39.126;17.752;4.639;3.180;.;34.741;17.528;4.439;3.022;.;4.385;224;200;158;.
    2020M08;65.449;81.899;16.029;13.759;419;59.820;80.828;15.448;13.556;415;5.630;1.071;581;202;4
    2020M07;49.321;55.209;7.494;7.280;841;43.525;54.627;7.038;7.030;832;5.796;582;456;250;9
    2020M06;10.168;10.020;1.942;2.233;.;9.161;9.998;1.942;2.209;.;1.007;22;0;24;.
    2020M05;1.596;.;507;519;.;1.537;.;.;.;.;58;.;.;.;.
    2020M04;0;0;0;.;.;0;0;0;.;.;0;0;0;.;.
    2020M03;20.360;3.144;1.990;1.233;449;17.715;3.144;1.238;1.228;324;2.645;0;752;5;125
    2020M02;65.221;7.730;6.026;3.744;974;57.266;6.850;5.834;3.685;974;7.955;880;192;58;0
    2020M01;46.282;3.683;4.557;2.901;318;40.155;3.439;4.376;2.866;315;6.127;244;181;35;3
    2019M12;59.898;9.501;8.727;10.075;981;54.041;.;8.456;9.986;981;5.857;.;271;89;0
    2019M11;76.790;10.308;7.034;7.866;1.083;66.530;9.744;6.868;7.661;1.083;10.260;564;166;205;0
    2019M10;99.566;15.627;10.437;8.442;1.272;77.035;12.336;9.165;7.233;956;22.531;3.291;1.273;1.208;316
    2019M09;107.114;32.879;8.676;7.825;1.999;74.057;29.581;7.127;6.398;1.230;33.057;3.298;1.548;1.427;769
    2019M08;124.132;148.142;22.660;13.831;2.289;105.051;140.287;20.908;12.473;1.918;19.081;7.855;1.751;1.358;371
    2019M07;90.142;105.321;10.905;8.494;3.228;71.776;100.648;8.676;7.461;2.908;18.366;4.673;2.229;1.034;320
    2019M06;89.630;29.666;8.077;6.580;3.491;66.416;23.494;7.025;6.077;3.048;23.213;6.172;1.052;503;443
    2019M05;96.017;17.529;6.411;6.268;2.014;67.275;13.047;4.801;5.653;1.345;28.741;4.482;1.610;615;669
    2019M04;88.820;30.945;9.468;7.553;2.371;70.807;27.550;8.831;7.355;1.958;18.012;3.395;637;198;413
    2019M03;71.588;11.527;6.363;6.322;1.313;63.186;10.066;5.989;6.172;1.248;8.402;1.461;374;151;65
    2019M02;51.447;6.131;5.505;3.538;1.123;45.247;5.513;5.064;3.456;984;6.200;618;441;82;139
    2019M01;44.609;3.497;4.053;1.626;477;38.905;3.254;3.901;1.611;477;5.704;243;152;14;0
    2018M12;62.854;9.898;9.793;9.204;1.268;57.422;.;9.360;9.121;1.265;5.433;.;433;82;3
    2018M11;81.388;11.776;6.448;7.795;847;72.669;.;6.244;7.702;840;8.720;.;204;93;7
    2018M10;98.996;14.707;8.846;8.385;1.557;80.207;12.098;8.072;8.127;1.158;18.790;2.609;774;258;399
    2018M09;109.232;28.096;8.579;7.408;1.634;76.159;25.732;7.511;6.627;1.002;33.073;2.364;1.068;781;632
    2018M08;123.168;142.395;15.183;15.171;2.230;103.233;135.543;13.687;14.260;1.856;19.935;6.852;1.495;911;374
    2018M07;93.773;89.444;11.244;9.721;2.958;75.470;85.347;10.283;9.121;2.648;18.302;4.097;960;600;310
    2018M06;90.132;26.239;8.404;7.004;2.318;67.381;19.418;7.723;6.438;2.021;22.752;6.821;681;566;297
    2018M05;90.965;14.174;6.795;6.116;1.409;63.501;10.680;5.908;5.622;920;27.464;3.494;886;494;489
    2018M04;84.448;17.154;7.982;8.059;2.023;66.517;14.361;7.493;7.660;1.517;17.931;2.793;488;399;506
    2018M03;76.384;22.264;9.080;8.036;2.267;65.636;19.601;8.868;7.852;1.943;10.748;2.663;213;184;324
    2018M02;52.887;4.403;7.460;3.418;1.253;46.925;3.447;7.048;3.288;1.175;5.962;956;412;130;78
    2018M01;43.577;3.518;5.163;2.258;460;37.091;3.240;5.131;2.223;450;6.486;278;31;35;10
    2017M12;66.129;8.628;11.791;8.044;1.503;60.897;.;11.431;7.971;1.496;5.232;.;359;73;7
    2017M11;75.128;10.756;7.276;5.354;544;66.421;.;6.782;5.314;543;8.707;.;494;40;1
    2017M10;97.292;17.000;12.233;8.858;1.026;79.695;15.317;10.593;8.614;1.003;17.597;1.683;1.640;244;23
    2017M09;114.190;26.985;11.096;8.021;810;83.380;23.956;9.857;7.376;700;30.810;3.029;1.239;644;110
    2017M08;131.789;143.181;21.164;14.797;1.708;113.515;136.238;19.025;13.923;1.363;18.274;6.943;2.139;873;345
    2017M07;99.294;92.111;15.581;8.413;2.222;80.386;87.593;14.082;7.738;2.049;18.908;4.518;1.499;674;173
    2017M06;94.310;26.379;9.592;6.460;1.310;70.944;20.783;8.429;5.858;1.261;23.367;5.596;1.162;603;49
    2017M05;91.586;15.744;8.841;6.262;473;63.699;12.880;7.569;5.567;374;27.887;2.864;1.272;696;99
    2017M04;98.061;31.963;13.748;11.433;1.384;81.589;27.743;12.342;10.840;1.243;16.471;4.220;1.406;593;141
    2017M03;71.512;9.285;8.419;5.503;649;63.254;8.656;7.661;5.390;634;8.257;629;758;112;15
    2017M02;55.405;3.730;7.408;4.057;1.016;49.768;3.215;6.636;3.992;692;5.637;515;771;65;324
    2017M01;47.018;2.774;4.716;1.956;.;41.016;2.531;4.329;1.896;.;6.001;243;387;59;.
    2016M12;68.996;8.119;10.528;7.699;359;63.034;.;10.402;7.641;359;5.962;.;126;59;0
    2016M11;69.735;10.685;6.794;5.234;604;61.233;9.416;6.288;5.152;587;8.502;1.269;506;83;17
    2016M10;107.336;15.371;12.820;8.996;1.042;82.777;12.434;12.317;8.352;978;24.559;2.937;503;645;64
    2016M09;108.056;20.657;11.089;5.949;553;76.579;17.628;8.809;5.137;499;31.477;3.029;2.280;812;54
    2016M08;127.508;125.250;19.998;13.167;1.002;108.864;118.526;18.545;12.181;928;18.644;6.724;1.453;987;74
    2016M07;101.679;78.146;16.625;6.687;2.230;79.376;73.527;14.929;5.745;2.119;22.304;4.619;1.696;942;111
    2016M06;82.142;20.382;8.108;4.440;1.692;60.128;15.167;6.879;3.956;1.667;22.013;5.215;1.229;484;25
    2016M05;92.448;13.373;8.491;6.540;1.103;68.642;10.634;7.202;5.830;1.038;23.805;2.739;1.289;710;65
    2016M04;73.739;14.120;6.680;5.517;1.009;58.756;11.835;5.768;5.308;950;14.982;2.285;912;209;59
    2016M03;82.913;19.385;11.400;8.355;1.142;75.680;17.342;10.838;8.256;1.060;7.232;2.043;561;99;82
    2016M02;59.289;3.586;5.905;3.775;850;53.939;3.036;5.812;3.719;848;5.350;550;92;56;2
    2016M01;50.491;2.751;4.156;3.271;511;44.338;.;4.051;3.135;508;6.153;.;105;136;3
    2015M12;61.911;7.380;10.668;7.264;484;57.134;7.380;10.382;7.156;484;4.777;..;286;108;0
    2015M11;77.097;10.168;7.633;5.318;720;68.962;9.315;7.510;5.164;716;8.135;853;123;154;3
    2015M10;100.690;14.787;10.904;8.638;987;81.495;12.297;9.987;7.783;987;19.195;2.490;917;854;0
    2015M09;112.172;20.741;9.756;6.058;576;82.326;18.173;8.263;5.079;527;29.846;2.568;1.493;979;49
    2015M08;121.503;118.300;18.381;12.869;1.592;106.238;112.685;17.023;11.710;1.372;15.265;5.615;1.358;1.159;220
    2015M07;88.982;71.837;10.815;6.115;2.482;71.731;67.808;9.341;5.106;2.482;17.251;4.029;1.474;1.009;0
    2015M06;87.513;20.582;5.851;4.928;376;67.039;16.381;4.956;4.282;376;20.474;4.201;894;645;0
    2015M05;94.899;15.782;7.303;5.177;1.319;73.106;12.112;6.424;4.670;1.317;21.793;3.670;879;506;2
    2015M04;85.775;21.495;9.589;7.408;1.738;69.479;20.090;8.930;7.235;1.738;16.297;1.405;659;172;0
    2015M03;70.652;7.993;7.543;3.985;445;63.158;7.183;6.769;3.914;445;7.494;810;775;71;0
    2015M02;50.112;3.054;6.080;2.205;866;45.528;2.554;5.766;2.191;701;4.584;500;314;13;165
    2015M01;45.159;2.468;5.303;2.761;171;40.192;2.268;5.256;2.750;171;4.967;200;47;11;0
