fecha;gopph_TOTAL;gopph_Logroño y Alrededores ;gopph_plaza_Resto municipios;gopph_finde_TOTAL;gopph_Logroño y Alrededores _finde ;gopph_Resto municipios_finde;goppa_TOTAL;goppa_Logroño y Alrededores ;goppa_Resto municipios;goppa_finde_TOTAL;goppa_Logroño y Alrededores _finde ;goppa_Resto municipios_finde;gopptr_TOTAL;gopptr_Logroño y Alrededores ;gopptr_Resto municipios;gopptr_finde_TOTAL;gopptr_Logroño y Alrededores _finde ;gopptr_Resto municipios_finde;goppc_TOTAL;goppc_Logroño y Alrededores ;goppc_plaza_Resto municipios;goppc_finde_TOTAL;goppc_Logroño y Alrededores _finde ;goppc_Resto municipios_finde; pernoc_Hoteles_total ; pernoc_Campings_total ; perc_Apartamentos_turisticos_total ; pernoc_Alojamientos_de_turismo_rura_total ; pernoc_Albergues_total ; pernoc_Hoteles_residentes ; pernoc_Campings_residentes ; pernoc_Apartamentos turisticos_residentes ; pernoc_Alojamientos_de_turismo_rural_residentes ; pernoc_Albergues_residentes ; pernoc_Hoteles_extranjeros ; pernoc_Campings_extranjeros ; pernoc_Apartamentos_turisticos_extranjeros ; pernoc_Alojamientos_de_turismo_rural_extranjeros ; pernoc_Albergues_extranjeros 
1/9/24;50,54;68;49,3;58,39;76,34;54,01;16,52;9,35;18,88;35,77;20,83;40,74;21,61;6,79;23,04;42,66;18,45;45,05;62,17;34,21;71,94;63,45;13,53;52,74; 105.767,00 ; 25.280,00 ; 11.551,00 ; 6.722,00 ; 7.151,00 ; 69.205,00 ; 19.210,00 ; 8.648,00 ; 5.001,00 ; 2.079,00 ; 36.562,00 ; 6.071,00 ; 2.903,00 ; 1.721,00 ; 5.072,00 
1/8/24;57,7;75,44;53,05;63,68;80,2;50,03;56,2;17,43;67,54;63,21;16,69;76,62;40,98;19,92;43,39;42,35;22,54;44,6;71,93;75,71;70,63;69,52;21,36;52,62; 121.383,00 ; 99.816,00 ; 40.650,00 ; 14.373,00 ; 7.822,00 ; 100.040,00 ; 92.732,00 ; 32.428,00 ; 11.630,00 ; 4.566,00 ; 21.343,00 ; 7.084,00 ; 8.222,00 ; 2.743,00 ; 3.256,00 
1/7/24;43,78;61,94;40,12;55,13;66,88;44,76;32,35;18,63;36,67;50,62;26,03;58,1;19,09;12,53;19,77;33,31;26,4;34,05;67,3;66,03;67,76;70,48;24,9;50,78; 95.843,00 ; 84.906,00 ; 23.264,00 ; 6.579,00 ; 10.091,00 ; 72.164,00 ; 79.575,00 ; 19.476,00 ; 4.693,00 ; 7.092,00 ; 23.678,00 ; 5.331,00 ; 3.788,00 ; 1.886,00 ; 2.999,00 
1/6/24;44,91;60,39;42,75;57,26;74,66;55,09;18,86;7,54;22,37;36,93;12,41;44,2;17,31;14,77;17,59;35,02;42,08;34,37;61,09;62,5;60,62;61,99;14,01;50,91; 93.939,00 ; 31.692,00 ; 12.161,00 ; 5.770,00 ; 5.869,00 ; 68.505,00 ; 24.344,00 ; 10.025,00 ; 4.072,00 ; 3.049,00 ; 25.434,00 ; 7.348,00 ; 2.136,00 ; 1.698,00 ; 2.819,00 
1/5/24;50,44;58,83;48,32;56,4;70,73;46,33;14,91;12,87;15,81;31,67;19,43;35,61;19,29;12,58;19,99;41,39;36,41;41,99;58,37;60,21;57,75;59,35;22,48;41,58; 100.784,00 ; 20.887,00 ; 10.000,00 ; 6.840,00 ; 9.380,00 ; 67.843,00 ; 14.502,00 ; 8.226,00 ; 4.549,00 ; 3.576,00 ; 32.941,00 ; 6.385,00 ; 1.774,00 ; 2.290,00 ; 5.804,00 
1/4/24;42,42;54,32;40,48;54,68;72,17;50,41;12;9,93;12,9;24,36;11,99;28,25;15,09;7,56;15,88;33,15;28,35;33,71;56,09;29,16;65,56;57,55;13,39;46,97; 88.668,00 ; 19.795,00 ; 8.097,00 ; 5.368,00 ; 3.155,00 ; 64.263,00 ; 12.573,00 ; 7.091,00 ; 4.196,00 ; 1.539,00 ; 24.405,00 ; 7.222,00 ; 1.007,00 ; 1.171,00 ; 1.616,00 
1/3/24;37,71;55,07;33,26;49,34;61,38;38,83;16,64;10,36;18,74;30,63;25,99;32,92;18,98;11,74;19,71;40,06;24,27;41,63;59,08;62,29;57,87;63,92;20,71;45,87; 80.439,00 ; 27.722,00 ; 11.188,00 ; 6.561,00 ; 3.384,00 ; 69.201,00 ; 24.747,00 ; 10.325,00 ; 5.616,00 ; 3.162,00 ; 11.238,00 ; 2.975,00 ; 864,00 ; 945,00 ; 222,00 
1/2/24;32,22;43,67;28,92;44,55;64,19;36,99;10,49;11,46;10,99;18,99;18,33;20,4;9,02;1,95;9,73;23,83;7,08;25,51;54,14;47,08;56,43;54,56;13,23;43,13; 57.160,00 ; 4.051,00 ; 5.432,00 ; 2.497,00 ; 1.663,00 ; 50.040,00 ; 3.125,00 ; 4.667,00 ; 2.038,00 ; 1.556,00 ; 7.120,00 ; 926,00 ; 764,00 ; 459,00 ; 107,00 
1/1/24;24,44;35,78;15,75;30,84;51,25;12,35;7,48;7,52;7,83;13,7;10,38;15;5,54;5,83;5,52;15,12;22,58;14,28;58,99;74,78;55,38;57,27;13,77;45,11; 43.248,00 ;; 4.251,00 ; 1.543,00 ; 1.750,00 ; 37.334,00 ;; 3.369,00 ; 1.475,00 ; 1.697,00 ; 5.914,00 ;; 882,00 ; 68,00 ; 53,00 
1/12/23;33,46;45,28;28,76;41,75;52,29;22,89;21,19;23,28;20,82;32,01;34,1;31,74;24,52;13,71;25,69;38,5;19,16;40,65;56,34;66,84;52,93;56,93;12,18;47,45; 63.587,00 ; 4.105,00 ; 15.872,00 ; 8.881,00 ; 3.501,00 ; 57.571,00 ; 4.043,00 ; 15.143,00 ; 8.712,00 ; 3.008,00 ; 6.017,00 ; 62,00 ; 729,00 ; 169,00 ; 493,00 
