fecha;pais_orig_cod;pais_orig;mun_dest_cod;mun_dest;turistas;prov_dest_cod;prov_dest
1/1/22;0;Total;26002;Agoncillo;227;26;Rioja, La
1/1/22;10;Total Europa;26002;Agoncillo;224;26;Rioja, La
1/1/22;11;Total Unión Europea;26002;Agoncillo;209;26;Rioja, La
1/1/22;126;Alemania;26002;Agoncillo;50;26;Rioja, La
1/1/22;131;Suecia;26002;Agoncillo;35;26;Rioja, La
1/1/22;0;Total;26003;Aguilar del Río Alhama;35;26;Rioja, La
1/1/22;10;Total Europa;26003;Aguilar del Río Alhama;32;26;Rioja, La
1/1/22;0;Total;26007;Alcanadre;35;26;Rioja, La
1/1/22;10;Total Europa;26007;Alcanadre;31;26;Rioja, La
1/1/22;0;Total;26008;Aldeanueva de Ebro;69;26;Rioja, La
1/1/22;10;Total Europa;26008;Aldeanueva de Ebro;61;26;Rioja, La
1/1/22;11;Total Unión Europea;26008;Aldeanueva de Ebro;53;26;Rioja, La
1/1/22;0;Total;26009;Alesanco;33;26;Rioja, La
1/1/22;0;Total;26011;Alfaro;809;26;Rioja, La
1/1/22;10;Total Europa;26011;Alfaro;786;26;Rioja, La
1/1/22;11;Total Unión Europea;26011;Alfaro;750;26;Rioja, La
1/1/22;103;Bélgica;26011;Alfaro;61;26;Rioja, La
1/1/22;110;Francia;26011;Alfaro;132;26;Rioja, La
1/1/22;113;Irlanda;26011;Alfaro;32;26;Rioja, La
1/1/22;115;Italia;26011;Alfaro;72;26;Rioja, La
1/1/22;121;Países Bajos;26011;Alfaro;47;26;Rioja, La
1/1/22;122;Polonia;26011;Alfaro;41;26;Rioja, La
1/1/22;123;Portugal;26011;Alfaro;43;26;Rioja, La
1/1/22;126;Alemania;26011;Alfaro;122;26;Rioja, La
1/1/22;131;Suecia;26011;Alfaro;102;26;Rioja, La
1/1/22;142;Lituania;26011;Alfaro;49;26;Rioja, La
1/1/22;0;Total;26014;Anguiano;73;26;Rioja, La
1/1/22;10;Total Europa;26014;Anguiano;60;26;Rioja, La
1/1/22;11;Total Unión Europea;26014;Anguiano;60;26;Rioja, La
1/1/22;0;Total;26017;Arnedillo;47;26;Rioja, La
1/1/22;10;Total Europa;26017;Arnedillo;44;26;Rioja, La
1/1/22;11;Total Unión Europea;26017;Arnedillo;42;26;Rioja, La
1/1/22;0;Total;26018;Arnedo;266;26;Rioja, La
1/1/22;10;Total Europa;26018;Arnedo;248;26;Rioja, La
1/1/22;11;Total Unión Europea;26018;Arnedo;214;26;Rioja, La
1/1/22;110;Francia;26018;Arnedo;75;26;Rioja, La
1/1/22;121;Países Bajos;26018;Arnedo;33;26;Rioja, La
1/1/22;126;Alemania;26018;Arnedo;40;26;Rioja, La
1/1/22;0;Total;26019;Arrúbal;47;26;Rioja, La
1/1/22;10;Total Europa;26019;Arrúbal;46;26;Rioja, La
1/1/22;11;Total Unión Europea;26019;Arrúbal;46;26;Rioja, La
1/1/22;0;Total;26020;Ausejo;44;26;Rioja, La
1/1/22;10;Total Europa;26020;Ausejo;40;26;Rioja, La
1/1/22;11;Total Unión Europea;26020;Ausejo;39;26;Rioja, La
1/1/22;0;Total;26021;Autol;54;26;Rioja, La
1/1/22;10;Total Europa;26021;Autol;45;26;Rioja, La
1/1/22;11;Total Unión Europea;26021;Autol;43;26;Rioja, La
1/1/22;0;Total;26034;Briones;35;26;Rioja, La
1/1/22;10;Total Europa;26034;Briones;31;26;Rioja, La
1/1/22;0;Total;26036;Calahorra;630;26;Rioja, La
1/1/22;10;Total Europa;26036;Calahorra;545;26;Rioja, La
1/1/22;11;Total Unión Europea;26036;Calahorra;494;26;Rioja, La
1/1/22;20;Total África;26036;Calahorra;45;26;Rioja, La
1/1/22;30;Total América;26036;Calahorra;34;26;Rioja, La
1/1/22;110;Francia;26036;Calahorra;170;26;Rioja, La
1/1/22;115;Italia;26036;Calahorra;34;26;Rioja, La
1/1/22;121;Países Bajos;26036;Calahorra;50;26;Rioja, La
1/1/22;125;Reino Unido;26036;Calahorra;44;26;Rioja, La
1/1/22;126;Alemania;26036;Calahorra;72;26;Rioja, La
1/1/22;131;Suecia;26036;Calahorra;52;26;Rioja, La
1/1/22;228;Marruecos;26036;Calahorra;40;26;Rioja, La
1/1/22;0;Total;26046;Cenicero;76;26;Rioja, La
1/1/22;10;Total Europa;26046;Cenicero;75;26;Rioja, La
1/1/22;11;Total Unión Europea;26046;Cenicero;65;26;Rioja, La
1/1/22;0;Total;26047;Cervera del Río Alhama;125;26;Rioja, La
1/1/22;10;Total Europa;26047;Cervera del Río Alhama;108;26;Rioja, La
1/1/22;11;Total Unión Europea;26047;Cervera del Río Alhama;108;26;Rioja, La
1/1/22;110;Francia;26047;Cervera del Río Alhama;43;26;Rioja, La
1/1/22;0;Total;26049;Cihuri;30;26;Rioja, La
1/1/22;0;Total;26054;Cornago;44;26;Rioja, La
1/1/22;10;Total Europa;26054;Cornago;41;26;Rioja, La
1/1/22;11;Total Unión Europea;26054;Cornago;41;26;Rioja, La
1/1/22;0;Total;26056;Cuzcurrita de Río Tirón;42;26;Rioja, La
1/1/22;0;Total;26059;Entrena;30;26;Rioja, La
1/1/22;0;Total;26061;Ezcaray;105;26;Rioja, La
1/1/22;10;Total Europa;26061;Ezcaray;88;26;Rioja, La
1/1/22;11;Total Unión Europea;26061;Ezcaray;80;26;Rioja, La
1/1/22;0;Total;26064;Fuenmayor;79;26;Rioja, La
1/1/22;10;Total Europa;26064;Fuenmayor;66;26;Rioja, La
1/1/22;11;Total Unión Europea;26064;Fuenmayor;62;26;Rioja, La
1/1/22;0;Total;26071;Haro;200;26;Rioja, La
1/1/22;10;Total Europa;26071;Haro;175;26;Rioja, La
1/1/22;11;Total Unión Europea;26071;Haro;145;26;Rioja, La
1/1/22;110;Francia;26071;Haro;53;26;Rioja, La
1/1/22;0;Total;26079;Huércanos;37;26;Rioja, La
1/1/22;10;Total Europa;26079;Huércanos;32;26;Rioja, La
1/1/22;11;Total Unión Europea;26079;Huércanos;31;26;Rioja, La
1/1/22;0;Total;26084;Lardero;198;26;Rioja, La
1/1/22;10;Total Europa;26084;Lardero;181;26;Rioja, La
1/1/22;11;Total Unión Europea;26084;Lardero;163;26;Rioja, La
1/1/22;110;Francia;26084;Lardero;57;26;Rioja, La
1/1/22;0;Total;26089;Logroño;3683;26;Rioja, La
1/1/22;10;Total Europa;26089;Logroño;3255;26;Rioja, La
1/1/22;11;Total Unión Europea;26089;Logroño;2900;26;Rioja, La
1/1/22;20;Total África;26089;Logroño;57;26;Rioja, La
1/1/22;30;Total América;26089;Logroño;316;26;Rioja, La
1/1/22;31;Total América del Norte;26089;Logroño;141;26;Rioja, La
1/1/22;33;Total Sudamérica;26089;Logroño;162;26;Rioja, La
1/1/22;40;Total Asia;26089;Logroño;50;26;Rioja, La
1/1/22;103;Bélgica;26089;Logroño;97;26;Rioja, La
1/1/22;107;Dinamarca;26089;Logroño;136;26;Rioja, La
1/1/22;110;Francia;26089;Logroño;1151;26;Rioja, La
1/1/22;113;Irlanda;26089;Logroño;57;26;Rioja, La
1/1/22;115;Italia;26089;Logroño;126;26;Rioja, La
1/1/22;117;Luxemburgo;26089;Logroño;92;26;Rioja, La
1/1/22;121;Países Bajos;26089;Logroño;425;26;Rioja, La
1/1/22;122;Polonia;26089;Logroño;84;26;Rioja, La
1/1/22;123;Portugal;26089;Logroño;93;26;Rioja, La
1/1/22;125;Reino Unido;26089;Logroño;256;26;Rioja, La
1/1/22;126;Alemania;26089;Logroño;365;26;Rioja, La
1/1/22;128;Rumania;26089;Logroño;94;26;Rioja, La
1/1/22;131;Suecia;26089;Logroño;131;26;Rioja, La
1/1/22;132;Suiza;26089;Logroño;62;26;Rioja, La
1/1/22;302;EE.UU.;26089;Logroño;90;26;Rioja, La
1/1/22;343;Colombia;26089;Logroño;112;26;Rioja, La
1/1/22;0;Total;26091;Lumbreras de Cameros;179;26;Rioja, La
1/1/22;10;Total Europa;26091;Lumbreras de Cameros;154;26;Rioja, La
1/1/22;11;Total Unión Europea;26091;Lumbreras de Cameros;144;26;Rioja, La
1/1/22;121;Países Bajos;26091;Lumbreras de Cameros;50;26;Rioja, La
1/1/22;0;Total;26099;Murillo de Río Leza;41;26;Rioja, La
1/1/22;10;Total Europa;26099;Murillo de Río Leza;33;26;Rioja, La
1/1/22;11;Total Unión Europea;26099;Murillo de Río Leza;31;26;Rioja, La
1/1/22;0;Total;26102;Nájera;111;26;Rioja, La
1/1/22;10;Total Europa;26102;Nájera;84;26;Rioja, La
1/1/22;11;Total Unión Europea;26102;Nájera;82;26;Rioja, La
1/1/22;0;Total;26103;Nalda;36;26;Rioja, La
1/1/22;10;Total Europa;26103;Nalda;30;26;Rioja, La
1/1/22;0;Total;26105;Navarrete;39;26;Rioja, La
1/1/22;10;Total Europa;26105;Navarrete;34;26;Rioja, La
1/1/22;11;Total Unión Europea;26105;Navarrete;34;26;Rioja, La
1/1/22;0;Total;26106;Nestares;147;26;Rioja, La
1/1/22;10;Total Europa;26106;Nestares;145;26;Rioja, La
1/1/22;11;Total Unión Europea;26106;Nestares;142;26;Rioja, La
1/1/22;121;Países Bajos;26106;Nestares;88;26;Rioja, La
1/1/22;0;Total;26108;Ocón;44;26;Rioja, La
1/1/22;10;Total Europa;26108;Ocón;41;26;Rioja, La
1/1/22;11;Total Unión Europea;26108;Ocón;35;26;Rioja, La
1/1/22;0;Total;26117;Pradejón;78;26;Rioja, La
1/1/22;10;Total Europa;26117;Pradejón;62;26;Rioja, La
1/1/22;11;Total Unión Europea;26117;Pradejón;60;26;Rioja, La
1/1/22;131;Suecia;26117;Pradejón;30;26;Rioja, La
1/1/22;0;Total;26120;Quel;59;26;Rioja, La
1/1/22;10;Total Europa;26120;Quel;49;26;Rioja, La
1/1/22;11;Total Unión Europea;26120;Quel;44;26;Rioja, La
1/1/22;0;Total;26125;Rincón de Soto;84;26;Rioja, La
1/1/22;10;Total Europa;26125;Rincón de Soto;71;26;Rioja, La
1/1/22;11;Total Unión Europea;26125;Rincón de Soto;64;26;Rioja, La
1/1/22;0;Total;26138;Santo Domingo de la Calzada;79;26;Rioja, La
1/1/22;10;Total Europa;26138;Santo Domingo de la Calzada;62;26;Rioja, La
1/1/22;11;Total Unión Europea;26138;Santo Domingo de la Calzada;58;26;Rioja, La
1/1/22;0;Total;26142;San Vicente de la Sonsierra;32;26;Rioja, La
1/1/22;0;Total;26155;Treviana;30;26;Rioja, La
1/1/22;0;Total;26165;Viguera;40;26;Rioja, La
1/1/22;10;Total Europa;26165;Viguera;35;26;Rioja, La
1/1/22;0;Total;26168;Villamediana de Iregua;70;26;Rioja, La
1/1/22;10;Total Europa;26168;Villamediana de Iregua;58;26;Rioja, La
1/1/22;11;Total Unión Europea;26168;Villamediana de Iregua;48;26;Rioja, La
1/1/22;0;Total;26169;Villanueva de Cameros;49;26;Rioja, La
1/1/22;10;Total Europa;26169;Villanueva de Cameros;49;26;Rioja, La
1/1/22;11;Total Unión Europea;26169;Villanueva de Cameros;47;26;Rioja, La
1/1/22;0;Total;26170;Villar de Arnedo, El;34;26;Rioja, La
1/1/22;10;Total Europa;26170;Villar de Arnedo, El;30;26;Rioja, La
1/1/22;11;Total Unión Europea;26170;Villar de Arnedo, El;30;26;Rioja, La
1/1/22;0;Total;26175;Villavelayo;40;26;Rioja, La
1/1/22;10;Total Europa;26175;Villavelayo;33;26;Rioja, La
1/2/22;0;Total;26002;Agoncillo;259;26;Rioja, La
1/2/22;10;Total Europa;26002;Agoncillo;257;26;Rioja, La
1/2/22;11;Total Unión Europea;26002;Agoncillo;249;26;Rioja, La
1/2/22;113;Irlanda;26002;Agoncillo;38;26;Rioja, La
