,actividad,num_resenas,valoracion,categoria
0,151. Sala Amos Salvador,6,4.5,Art Museums
1,152. Oficina de Turismo de Arnedo,12,4.5,Visitor Centers
2,153. Monasterio de la Luz,9,4.5,Churches & Cathedrals
3,154. Centro de la Cultura del Rioja,52,3.5,Art Museums
4,155. Monumento a la Valvanerada,4,5.0,Monuments & Statues
5,156. Finca Ribavellosa,9,5.0,Hiking Trails
6,157. Monumento al Sagrado Corazón de Jesús,11,4.5,Monuments & Statues
7,158. Chorrones de Pena Puerta,6,4.5,Waterfalls
8,159. Bodegas Berceo,6,4.5,Wineries & Vineyards
9,160. Chimenea de La Antigua Tabacalera,20,3.5,Points of Interest & Landmarks
10,161. Santuario de Santa Maria de la Estrella,10,4.0,Religious Sites
11,162. Ermita de Santa Barbara,5,4.0,Churches & Cathedrals
12,163. Bodegas Tobia,10,4.5,Wineries & Vineyards
13,164. Bodegas Vina Laguardia S L,14,4.5,Wineries & Vineyards
14,165. Museo del Torreón,18,4.0,Art Museums
15,166. Ruta de Las Neveras,3,4.5,Hiking Trails
16,167. Bodegas Paco Garcia,9,5.0,Wineries & Vineyards
17,168. Piscinas Municipales,4,4.0,Sports Complexes
18,169. Alfareria Naharro,2,4.5,Factory Outlets
19,170. Uvas y Vino,10,5.0,Wineries & Vineyards
20,171. Cines 7 Infantes,15,3.5,Theaters
21,172. Fuente del Peregrino,11,4.0,Fountains
22,173. Senda De Los Dinosaurios,6,4.0,Points of Interest & Landmarks
23,174. Escape Room Logrono,328,5.0,Escape Games
24,175. Bodegas Mazuela,8,5.0,Wineries & Vineyards
25,176. Ermita de San Juan Santo Cristo de Los Remedios,26,4.0,Churches & Cathedrals
26,177. Bodegas Betolaza,4,5.0,Wineries & Vineyards
27,178. Embalse de Mansilla,4,4.5,Bodies of Water
28,179. Bodegas Perica,7,4.5,Wineries & Vineyards
29,180. Iglesia de San Servando y San German,6,4.5,Religious Sites
30,511. Traddu Traducción & Internacionalización,,,Sightseeing Tours
31,512. Zen Club,,,Bars & Clubs
32,513. Abuelo,,,Wineries & Vineyards
33,514. Bodegas La Eralta,,,Wineries & Vineyards
34,515. Macrobert & Canals,,,Wineries & Vineyards
35,516. Bodega Abel Mendoza Monge,,,Wineries & Vineyards
36,517. Chuchespress,,,Speciality & Gift Shops
37,518. Iglesia Parroquial de Santa Eulalia de Merida,,,Churches & Cathedrals
38,519. Bodegas JER,,,Wineries & Vineyards
39,520. Carlos Capin Suarez,,,Taxis & Shuttles
40,521. Unidad cccc,,,Wine Tours & Tastings
41,522. Albergue de Lumbreras,,,Zipline & Aerial Adventure Parks
42,523. Sparta Sport Center,,,Health Clubs
43,524. Rioja in Style,,,Sightseeing Tours
44,525. Rivalia Bodegas y Vinedos,,,Wineries & Vineyards
45,526. La Plazuela de Barriocepo,,,Speciality & Gift Shops
46,527. Iglesia De San Martín,,,Churches & Cathedrals
47,528. Las Majadas,,,Horseback Riding Tours
48,529. Iglesia Inmaculada,,,Churches & Cathedrals
49,530. Back In Time,,,Escape Games
50,531. Iglesia de Villanueva de Cameros,,,Churches & Cathedrals
51,532. Ermita virgen del villar,,,Churches & Cathedrals
52,533. Monasterio de San Prudencio,,,Ancient Ruins
53,534. Algazara Estudio,,,Lessons & Workshops
54,535. Bodega Beleluin,,,Wineries & Vineyards
