actividad,num_resenas,valoracion,categoria
Sala Amos Salvador,6,4.5,Art Museums
Oficina de Turismo de Arnedo,12,4.5,Visitor Centers
Monasterio de la Luz,9,4.5,Churches & Cathedrals
Centro de la Cultura del Rioja,52,3.5,Art Museums
Monumento a la Valvanerada,4,5.0,Monuments & Statues
Finca Ribavellosa,9,5.0,Hiking Trails
Monumento al Sagrado Corazón de Jesús,11,4.5,Monuments & Statues
Chorrones de Pena Puerta,6,4.5,Waterfalls
Bodegas Berceo,6,4.5,Wineries & Vineyards
Chimenea de La Antigua Tabacalera,20,3.5,Points of Interest & Landmarks
Santuario de Santa Maria de la Estrella,10,4.0,Religious Sites
Ermita de Santa Barbara,5,4.0,Churches & Cathedrals
Bodegas Tobia,10,4.5,Wineries & Vineyards
Bodegas Vina Laguardia S L,14,4.5,Wineries & Vineyards
Museo del Torreón,18,4.0,Art Museums
Ruta de Las Neveras,3,4.5,Hiking Trails
Bodegas Paco Garcia,9,5.0,Wineries & Vineyards
Piscinas Municipales,4,4.0,Sports Complexes
Alfareria Naharro,2,4.5,Factory Outlets
Uvas y Vino,10,5.0,Wineries & Vineyards
Cines 7 Infantes,15,3.5,Theaters
Fuente del Peregrino,11,4.0,Fountains
Senda De Los Dinosaurios,6,4.0,Points of Interest & Landmarks
Escape Room Logrono,328,5.0,Escape Games
Bodegas Mazuela,8,5.0,Wineries & Vineyards
Ermita de San Juan Santo Cristo de Los Remedios,26,4.0,Churches & Cathedrals
Bodegas Betolaza,4,5.0,Wineries & Vineyards
Embalse de Mansilla,4,4.5,Bodies of Water
Bodegas Perica,7,4.5,Wineries & Vineyards
Iglesia de San Servando y San German,6,4.5,Religious Sites
Ilurce Bodegas y Vinedos,5,5.0,
Junguitu ¿Hablamos de Vino?,8,4.5,
Puente de Hierro,11,4.0,
San Esteban de Viguera,7,5.0,
Oficina de Turismo de Alfaro,10,4.5,
Club de Golf Sojuela,25,4.0,
Parroquia Santa Maria La Mayor,14,4.5,
Bodegas Valoria,4,5.0,
Oficina de Turismo de Arnedillo,14,4.0,
Puente de Piedra,14,3.5,
Eureka! Escape-Room,227,4.5,
Bodegas Marques de Arviza,8,4.0,
Monasterio de Santa Maria del Salvador,7,4.5,
Oficina de Turismo Briones,15,4.0,
Ayuntamiento De Sajazarra,13,3.5,
Oficina de Turismo Calahorra,4,5.0,
Ayuntamiento de Fuenmayor,6,4.0,
Ermita de San Pedro,4,4.5,
Bodegas González Puras,3,5.0,
Muralla Medieval,28,3.5,
Exposición Permanente de los Pasos de la Semana Santa Calagurritana,3,4.5,
Bodegas Hermanos Peciña S.l,6,4.5,
El Campo de Logrono,33,4.0,
Parroquia de San Miguel Arcángel,10,4.5,
Oficina de Turismo de Najera,11,3.5,
Oficina de Turismo,8,4.0,
Plaza de Toros Los Rosales,3,4.0,
Bazart Gallery,2,5.0,
Puente Medieval de Villoslada,11,4.0,
Marques de Teran,3,5.0,
Hoplitawines,1,5.0,
Metaversia,,,
Logroaventura,,,
Logroaventura,,,
Metaversia Calahorra,,,
Lurreko Aromaticas y Biodiversidad,,,
Parroquia De Nuestra Señora De La Asunción,,,
Violeta Betolaza Román. Decoración En Cerámica.,,,
Campo Miel,,,
BODEGAS TARÓN,,,
Plaza de toros La Ribera,,,
Iglesia De San Martín,,,
Iglesia de San Martín,,,
Iglesia Parroquial de La Asunción,,,
Back In Time,,,
Iglesia de San Martín,,,
Bodegas Nestares Eguizábal,,,
Ermita San Antonio De Padua,,,
Iglesia de la Asunción,,,
Ermita De Lollano,,,
Church of San Saturnino,,,
Ermita virgen del villar,,,
Iglesia De Santa Ana,,,
Iglesia de Villanueva de Cameros,,,
Iglesia San Martin,,,
Enjoy the most beautiful places in La Rioja during your stay,,,
Iglesia Parroquial de Nuestra Senora de La Asuncion,,,
Iglesia De San Martín,,,
Museo de Ciencias Naturales de Arnedo,,,
Playabus,,,
Hoplita Historic Vineyards,8,5.0,Wineries & Vineyards
Barranco de la Hoz,17,4.5,Geologic Formations
Castillo de Davalillo,26,4.0,Points of Interest & Landmarks
Bodegas Marques de Reinosa,13,5.0,Wineries & Vineyards
Museo Najerillense,32,3.5,Speciality Museums
Reserva Natural de Los Sotos de Alfaro,9,5.0,Nature & Wildlife Areas
Viñedos De Sonsierra,17,5.0,Wineries & Vineyards
Colelegiata De San Miguel,8,5.0,Churches & Cathedrals
Abadía cisterciense,9,4.0,Religious Sites
Espacio Lagares,9,4.5,Speciality Museums
Enoteca Crixto-14,70,4.5,Wine Bars
Calado,151,5.0,Wineries & Vineyards
Alcazar de Nájera,8,3.5,Ancient Ruins
Palacio del Marques de San Nicolas,31,4.0,Architectural Buildings
Ermita de la Virgen de la Plaza,29,4.0,Churches & Cathedrals
Convento de San Francisco,11,4.5,Religious Sites
AK Museum,2,5.0,Speciality Museums
Oficina de Turismo de Haro,36,4.0,Visitor Centers
Ampliación a Victoria,5,4.5,Mines
Monasterio de San José,8,4.0,Churches & Cathedrals
Camino Verde del Alhama Cervera del Río Alhama,18,4.5,Hiking Trails
Oficina de Turismo de Arnedo,12,4.5,Visitor Centers
iglesia de San Cosme y San Damian,12,4.5,Churches & Cathedrals
Barrio de la Estación de Haro,2,5.0,Wineries & Vineyards
