Restaurant/Tapas Bar,Rating,Number of Reviews,Cuisine Type,Price Range,Tripadvisor Ranking
Restaurante Casa Masip,4.0,804,Restaurantes en Ezcaray,€€ - €€€,1.0
Restaurante Asador La Antigua Ferreria,4.5,226,"Mediterránea, Española",€€ - €€€,2.0
Echaurren Tradición,4.0,953,"Restaurante de carne, Española",€€€€,3.0
Restaurante el Rincon del Vino de Ezcaray,4.0,370,"Mediterránea, Europea",€€ - €€€,4.0
Restaurante El Portal del Echaurren,4.5,481,"Restaurante de carne, Mediterránea",€€€€,5.0
EL CUARTITO de Echaurren,4.0,228,"Europea, Española",€€ - €€€,6.0
Bar Roypa,4.0,221,"Mediterránea, Europea",€,7.0
Bar Restaurante Lladito,4.0,117,"Bar, Mediterránea",€€ - €€€,8.0
La Estacion,3.5,123,Española,€€ - €€€,9.0
Restaurante Cerveceria El Refugio,3.5,88,Española,€€ - €€€,10.0
Pizzeria Fuoli,4.0,43,Española,€,11.0
Bar Satorre,4.5,15,"Italiana, Pizza",€€ - €€€,12.0
Jamon Jamon,4.0,43,"Mediterránea, Española",€€ - €€€,13.0
Restaurante Usaya,4.0,14,Española,€€ - €€€,14.0
E-Tapas Gastrobar,4.0,35,Española,€€ - €€€,15.0
Cervecería Deyan,3.5,37,Española,€,16.0
Asador Usaya,4.0,13,"Bar, Pizza",€€ - €€€,17.0
Restaurante El Meson,2.5,285,Española,€,18.0
Iguareña,3.0,14,,€,19.0
Meson Allende,3.0,26,Española,€,20.0
Bar Lorca,4.0,8,Española,,21.0
Bar La Taberna,4.5,2,,,22.0
Bar Novelty,2.5,58,Española,,23.0
restaurante Cines Allende,3.0,9,Española,,24.0
El Mesón,0,0 opiniones,,,25.0
Bar Ubaga Ezcaray,0,0 opiniones,"Bares y pubs, Española",,26.0
Cafetería Saúco,0,0 opiniones,,,27.0
Café Central Ezcaray,0,0 opiniones,Bares para comer,,28.0
Pub Rym,0,0 opiniones,"Café, Española",,29.0
Troika,0,0 opiniones,,,30.0
