Restaurant/Tapas Bar,Rating,Number of Reviews,Cuisine Type,Price Range,Tripadvisor Ranking,Location
Restaurante Olano,4.0,132,Restaurantes en Cenicero,€,1.0,Cenicero
La Vermuteria,4.5,26,"Mediterránea, Española",€,2.0,Cenicero
Bar cafetería San Fernando,4.0,16,"Bar, Marisco",€€ - €€€,3.0,Cenicero
Bodegon El Parque,3.5,14,Española,,4.0,Cenicero
El Mayo,0.0,0 opiniones,"Mediterránea, Española",,5.0,Cenicero
Bar Que Pasada Bar,0.0,0 opiniones,,,6.0,Cenicero
Bar Liberty,0.0,0 opiniones,"Mediterránea, Europea",,7.0,Cenicero
Restaurante Morro Tango,4.5,66,Restaurantes en Alfaro,€€ - €€€,1.0,Alfaro
Restaurante Graccurris,4.5,135,"Mediterránea, Europea",€€ - €€€,2.0,Alfaro
San Roque,4.0,281,"Marisco, Mediterránea",€€ - €€€,3.0,Alfaro
Cafetería-Restaurante Palacios,3.5,164,"Mediterránea, Europea",€€ - €€€,4.0,Alfaro
TR3INTA Y 8CHO,5.0,17,"Mediterránea, Europea",€,5.0,Alfaro
Restaurante Hernani 2,3.5,34,Española,€€ - €€€,6.0,Alfaro
Restaurante La Fonda,4.5,6,"Mediterránea, Española",€€ - €€€,7.0,Alfaro
Casa Montini,4.0,21,Española,€,8.0,Alfaro
Hernani II,3.5,6,,€,9.0,Alfaro
Taberna Pub Bronx,3.5,14,Española,€,10.0,Alfaro
Mami Pizza,3.5,17,Española,,11.0,Alfaro
Bar Pizzeria FX,5.0,1,"Italiana, Pizza",,12.0,Alfaro
Ninfeo GastroBar,4.0,1,,,13.0,Alfaro
Kuchi Sushi & Wine Bar,0.0,0 opiniones,"Italiana, Española",,14.0,Alfaro
El Quiosco Bistró,4.5,2,Española,,15.0,Alfaro
Polaris,2.5,11,,,16.0,Alfaro
Cafe Dali,4.0,1,"Peruana, Sushi",,17.0,Alfaro
El Columpio,2.5,2,,,18.0,Alfaro
El Gatonegro,0.0,0 opiniones,Española,,19.0,Alfaro
Bar Los Nidos,0.0,0 opiniones,,,20.0,Alfaro
Panificadora Alfareña,0.0,0 opiniones,Europea,,21.0,Alfaro
La Queseria,0.0,0 opiniones,"Bar, Café",,22.0,Alfaro
Pub Dolby Alfaro,0.0,0 opiniones,,,23.0,Alfaro
Cafeteria Crepusculo,0.0,0 opiniones,,,24.0,Alfaro
