nombre;num_resenas.1;valoracion;categoria;ubicacion
Casa Rural Cerro de Mirabel;8;4,5;;Granon
Cascadas de Puente Ra;7;5;;Villoslada de Cameros
Apartamentos Abastos;1;5;;Logrono
Hotel Duques de Najera;163;3,5;;Najera
Hostal Rioja Condestable;20;4;;Logrono
Paraiso Rural;16;4,5;;Villanueva de Cameros
Pension La Bilbaina - Albergue Logrono;29;3,5;;Logrono
El Guardavinas;27;5;;Abalos
Las Huellas de Cameros;11;5;;Soto en Cameros
Mar de Viñas Hotel Rural;170;5;;San Asensio
Casino Munilla;16;4;;Munilla
San Francisco 58;23;4;;Santo Domingo de la Calzada
Rioja Valley - Apartamentos Turísticos;20;5;;Cenicero
La Casona del Pastor;79;4,5;;Valganon
Casa Marisa;135;4,5;;San Asensio
Pension Arnedo;25;4,5;;Arnedo
Albergue El Cuartel;9;3;;Granon
Posada de Santa Rita;20;4;;Enciso
Posada de Urreci;62;4,5;;Aldeanueva de Cameros
Carpe Viam;11;4;;Santo Domingo de la Calzada
Apartamentos Congreso;2;4,5;;Logrono
Apartamentos Logrono-Centro-Espolon;3;4,5;;Logrono
Finca Torre de Brinas;20;5;;Brinas
Hostal La Catedral;39;3;;Santo Domingo de la Calzada
Apartamentos Miradores del Isasa;1;5;;Herce
Hostal Villa de Navarrete;23;4;;Navarrete
Pension San Vicente;2;4;;San Vicente de la Sonsierra
Apartamentos Logrono Centro;5;3;;Logrono
Camping Fuenmayor;3;3,5;;Fuenmayor
Pensión Blanquita;3;2,5;;Logrono
Camping Berceo;21;3,5;;Berceo
Pension Jauja;11;4;;Alesanco
Hotel Entrerailes;5;5;;Casalarreina
Aldeas de Ezcaray;15;5;;Ezcaray
Fabrica de Harinas La Gloria;2;5;;San Millan de la Cogolla
Restaurante Casa Tila;81;5;;Clavijo
Hotel Conde de Badaran;137;3,5;;Badaran
Casa Rural el Quemao;1;3;;Villoslada de Cameros
Apartamentos Haro;2;5;;Haro
Apartamentos Turisticos Los Zapatos Morados;140;5;;Haro
Apartamentos Rurales Altuzarra;77;4;;Ezcaray
Hospederia del Vino;111;5;;Abalos
Pensión Espolón De Logroño;1;3;;Logrono
Casa San Andres del Valle;92;5;;Estollo
Los Nietos;62;4,5;;Briones
La Casa del Cofrade;130;4;;Albelda de Iregua
Vino y Camino;37;4;;Najera
Apartamentos San Lazaro;1;4;;Ezcaray
Ubaga Apartamentos;38;4;;Ezcaray
Pension Entrevinas;14;4,5;;Logrono
Casa del Agua - La Rioja;7;4,5;;
Venta de Goyo;50;4;;Viniegra de Abajo
El Sitio de Carmelo;1;5;;Cuzcurrita de Rio Tiron
Hotel Vinicola Real-200 Monges;2;3;;Albelda de Iregua
La Posada de Ajamil;1;5;;Ajamil
Casa Rural Hormilla;2;4,5;;Hormilla
Casa De Mares Y Suenos;1;5;;Rincon de Soto
Hostal Valle del Iregua;15;3;;Albelda de Iregua
Albergue Logrono Centro;8;2;;Logrono
Rivera Del Tiron Apartamentos;4;2;;Cuzcurrita de Rio Tiron
Hotel del Trueno;12;4,5;;Ezcaray
Palacio Condes De Cirac;20;5;;Haro
Casa Rural El Meson;106;4,5;;Briones
Hotel Isasa;73;3,5;;Logrono
Hostal Patron;30;4;;Castanares de Rioja
Hostal la Cepa;20;4,5;;Aldeanueva de Ebro
Hotel-Boutique By Gonzalo Sesma;2;5;;Cervera del Rio Alhama
La Casa De Lucas;37;5;;Clavijo
Ibiza Rooms;4;5;;Logrono
Casa Grande Hotel;55;4,5;;Granon
Hotel la Calera;81;4;;San Millan de la Cogolla
Hotel La Capellania;282;5;;San Asensio
Hostal Puente de Hierro;2;4,5;;Logrono
Casa Rural Las Pedrolas;26;4,5;;Arnedillo
Casa Rural Medieval Torre Fuerte S.XIII;27;5;;Banos de Rioja
EightRooms La Rioja Pension;2;3;;
Mirador de Granon;3;4,5;;Granon
Hotel Ciudad de Haro;291;3;;Haro
Puracepa - Urban Suites;4;5;;Haro
Casa Rural Senderuela;94;5;;Panzares
Hotel - Hostel Atuvera;9;4;;Santo Domingo de la Calzada
Albergue Casa Las Angelitas;1;5;;Quel
Hotel Restaurante Valdevenados;14;4;;Anguiano
La Casa Verde;46;4,5;;Islallana
Pension Saint Mateo;24;4,5;;Logrono
Casa Rural Celtia;2;4;;Inestrillas
Hotel Valle del Oja;37;3,5;;Casalarreina
Albergue Santiago Apostol;62;3;;Logrono
Hotel Area de Calahorra;9;2,5;;Calahorra
Hostal La Cortijana;50;2,5;;Logrono
Apartamentos Turisticos Ezcaray;148;4,5;;Ezcaray
El Mirador de Eloisa;66;5;;Rodezno
Hotel Rural Las Aguedas;93;4,5;;Ventosa
Casa Peregrinando, Pensión Con Encanto;75;5;;Navarrete
Hotel Rey Sancho;91;4;;Navarrete
Hostal Boutique El Molino de Floren;218;4,5;;Santo Domingo de la Calzada
Apartamentos Turísticos Rincones del Vino;66;5;;Ezcaray
Hostal Ciudad de Najera;47;4;;Najera
Pensión Temática Anahuaska;175;5;;Panzares
