Restaurant/Tapas Bar,Rating,Number of Reviews,Cuisine Type,Price Range,Tripadvisor Ranking
Restaurante Morro Tango,4.5,66,Restaurantes en Alfaro,€€ - €€€,1.0
Restaurante Graccurris,4.5,135,"Mediterránea, Europea",€€ - €€€,2.0
San Roque,4.0,281,"Marisco, Mediterránea",€€ - €€€,3.0
Cafetería-Restaurante Palacios,3.5,164,"Mediterránea, Europea",€€ - €€€,4.0
TR3INTA Y 8CHO,5.0,17,"Mediterránea, Europea",€,5.0
Restaurante Hernani 2,3.5,34,Española,€€ - €€€,6.0
Restaurante La Fonda,4.5,6,"Mediterránea, Española",€€ - €€€,7.0
Casa Montini,4.0,21,Española,€,8.0
Hernani II,3.5,6,,€,9.0
Taberna Pub Bronx,3.5,14,Española,€,10.0
Mami Pizza,3.5,17,Española,,11.0
Bar Pizzeria FX,5.0,1,"Italiana, Pizza",,12.0
Ninfeo GastroBar,4.0,1,,,13.0
Kuchi Sushi & Wine Bar,0,0 opiniones,"Italiana, Española",,14.0
El Quiosco Bistró,4.5,2,Española,,15.0
Polaris,2.5,11,,,16.0
Cafe Dali,4.0,1,"Peruana, Sushi",,17.0
El Columpio,2.5,2,,,18.0
El Gatonegro,0,0 opiniones,Española,,19.0
Bar Los Nidos,0,0 opiniones,,,20.0
Panificadora Alfareña,0,0 opiniones,Europea,,21.0
La Queseria,0,0 opiniones,"Bar, Café",,22.0
Pub Dolby Alfaro,0,0 opiniones,,,23.0
Cafeteria Crepusculo,0,0 opiniones,,,24.0
Dia España,0,0 opiniones,,,25.0
Pub Jazz Alfaro,0,0 opiniones,,,26.0
Treinta Y Ocho,0,0 opiniones,,,27.0
Mercadona,0,0 opiniones,,,28.0
Gasolinera Las Cigüeñas,0,0 opiniones,,,29.0
Bar Castillo,0,0 opiniones,,,30.0
