Restaurant/Tapas Bar,Rating,Number of Reviews,Cuisine Type,Price Range,Tripadvisor Ranking
Restaurante El Jarrero,4.5,674,"Restaurante de carne, Mediterránea",€€ - €€€,1.0
Restaurante Alboroque,5.0,130,"Mediterránea, Europea",€€ - €€€,2.0
Restaurante Terete,4.0,1386,"Mediterránea, Europea",€€ - €€€,3.0
Restaurante Los Berones,4.5,149,"Restaurante de carne, Mediterránea",€,4.0
El Rincon Del Noble,4.5,402,"Europea, Española",€€ - €€€,5.0
Nublo Restaurant,4.5,124,"Mediterránea, Europea",€€€€,6.0
Beethoven,4.0,940,"Mediterránea, Española",€€ - €€€,7.0
Arrope,4.0,487,"Mediterránea, Europea",€€ - €€€,8.0
El Claustro de los Agustinos,4.0,156,"Mediterránea, Europea",€€ - €€€,9.0
Los Caños Restaurante,4.0,35,"Mediterránea, Europea",€€ - €€€,10.0
El Remolino,4.0,56,Española,€,11.0
Restaurante Gastrobar Sabai,4.5,17,Española,€€€€,12.0
Asador Beethoven,4.0,141,"Española, Asiática",€€ - €€€,13.0
Rinconcito de Cai,4.5,50,"Restaurante de carne, Española",€,14.0
Bar La Esquina,4.0,177,"Española, Pub",€,15.0
Bar Benigno,4.0,109,Española,€,16.0
Bar Restaurante Vega,3.5,186,"Bares y pubs, Bar",€€ - €€€,17.0
Cafetería Nido,5.0,19,"Mediterránea, Europea",€,18.0
El Antojo Del Gallo,4.0,69,"Bar, Café",€,19.0
Popy's,3.5,93,"Mediterránea, Española",€€ - €€€,20.0
Restaurante Las Cigüenas,3.5,94,"Pizza, Mediterránea",€€ - €€€,21.0
Siglo de Oro,4.5,44,Española,€€ - €€€,22.0
Cafe El Sol,3.5,67,"China, Asiática",€€ - €€€,23.0
Taberna Urdai,4.0,23,"Bar, Café",€€ - €€€,24.0
Bar la Pista 2.0,4.5,11,Española,€€ - €€€,25.0
Chamonix,3.0,347,"Pub, Bar",€,26.0
Asador Cervecería Tirondoa -,3.0,75,,€€ - €€€,27.0
Bar Obarenes,3.0,126,"Bar, Española",€,28.0
Restaurante Risqueno,3.0,70,"Mediterránea, Española",€€ - €€€,29.0
El Huerto,4.0,6,"Bar, Española",,30.0
La Vieja Bodega,4.5,1137,Restaurantes en Haro,€€€€,
Bar Talia,4.0,11,"Restaurante de carne, Mediterránea",€,31.0
Asador Tinto,3.0,96,Española,€€ - €€€,32.0
Harmony,4.5,7,"Restaurante de carne, Barbacoa",€€ - €€€,33.0
Café Suizo,2.0,58,"Bar, Española",€,34.0
Bar Entre Copas,4.0,16,,€€ - €€€,35.0
Café-Bar El Cedro,4.5,9,Café,€,36.0
Kaya,3.5,65,"Bar, Pub",,37.0
Bar Bremen,4.0,8,,,38.0
El Pasadizo,3.0,58,"Café, Española",,39.0
Gastrokebab El Sultan,5.0,1,,,40.0
Bar-Café El Arranque,4.5,3,"Bar, Española",,41.0
The Folk Tavern,3.5,3,"Latina, Comida rápida",,42.0
Bar Talía Haro,3.0,2,Española,,43.0
La Geria,1.0,1,"Comida rápida, Bares para comer",,44.0
Cafe Epoca,2.0,13,,,45.0
Bar Talia Haro,1.0,1,"Bar, Pub",,46.0
Tempranillo Y Maguey (t&m),0,0 opiniones,,,47.0
Asador Doña Petra,0,0 opiniones,"Bares y pubs, Latina",,48.0
Cerveceria Chamonix,0,0 opiniones,,,49.0
Jamonero - Madrid Tapas,0,0 opiniones,"Latina, Comida rápida",,50.0
Estambul Kebabharo,0,0 opiniones,,,51.0
Kebab Plaza,0,0 opiniones,"Bar, Café",,52.0
Cafe Bar Scooby,0,0 opiniones,,,53.0
Teorema Pub,0,0 opiniones,"Bares y pubs, Española",,54.0
Cafeteria Bilibio,0,0 opiniones,,,55.0
Pan La Minerva,0,0 opiniones,,,56.0
Bar Pirolo,0,0 opiniones,"Española, Asador",,57.0
Bar/discoteca Lio,0,0 opiniones,,,58.0
Cafe Liceo,0,0 opiniones,Española,,59.0
Café Terraza Kiosco,0,0 opiniones,,,60.0
